Category,Name,Phone_1,Phone_2,Phone_3,Email,Location,Area,Governorate,Country,About,Website,Fax,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
accessory,Alkawakeb Garment Co Ltd,+966 6736062,,,,"P.O. Box: 12965 , Jeddah, Makkah Province, Saudi Arabia",P.O. Box: 12965,Makkah Province,Saudi Arabia,"AL-KAWAKEB GARMENT CO. LTD. is located in Jeddah, Saudi Arabia. Company is working in Clothing and Accessories, Kids, Baby Clothing, Kids Clothing business activities.",,,https://arablocal.com/business/view/alkawakeb-garment-co-ltd,,,,,
acoustical-consultants,Amaar Co.,+966 138491777,,,,"Al Aqrabiyah Dist, Al Khobar, Al Aqrabiyah Dist, Al Khobar, Eastern Province, Saudi Arabia",Al Aqrabiyah Dist,Eastern Province,Saudi Arabia,,,,https://arablocal.com/business/view/amaar-co,,,,,
accomodation,Gharafi Lights Houses Co. Ltd. Al Sulay Riyadh,+966 592829526,,,,"Al Sulay Dist., Riyadh, Al Sulay Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Sulay Dist.,Riyadh Province,Saudi Arabia,Gharafi Lights Houses Co. Ltd. Al Sulay Riyadh,,,https://arablocal.com/business/view/gharafi-lights-houses-co-ltd-al-sulay-riyadh,,,,,
accounting,Talal Abu-Ghazaleh And Co. - Chartered Accountants,+966 126685458,,,,"Third Floor, Khaleej Centre, Rouwais Dist., Jeddah, Rouwais Dist., Jeddah, Makkah Province, Saudi Arabia",Third Floor,Makkah Province,Saudi Arabia,Talal Abu-Ghazaleh And Co. - Chartered Accountants,,,https://arablocal.com/business/view/talal-abu-ghazaleh-and-co-chartered-accountants,,,,,
accounting,Middle East International Systems Co.,+966 114544750,,,,"Riyadh City, Riyadh, Riyadh City, Riyadh, Riyadh Province, Saudi Arabia",Riyadh City,Riyadh Province,Saudi Arabia,Middle East International Systems Co.,,,https://arablocal.com/business/view/middle-east-international-systems-co,,,,,
accomodation,Modern Factory For Prefab Houses Nazlah Jeddah,+966 126355567,,,,"Nazlah Dist., Jeddah, Nazlah Dist., Jeddah, Makkah Province, Saudi Arabia",Nazlah Dist.,Makkah Province,Saudi Arabia,Modern Factory For Prefab Houses Nazlah Jeddah,http://www.mofabhousing.com/aboutus_profile.html,,https://arablocal.com/business/view/modern-factory-for-prefab-houses-nazlah-jeddah,,,,,
accounting,Nuf Chartered Accountant,+966 055 9831923,+966 97143258361,,hm@nufca.com,"Office 510, Al Khaleej Centre Al Rolla Road, Bur Dubai Near Fahidi Metro - Dubai, Harajah, Asir, Asir Province, Saudi Arabia",Office 510,Asir Province,Saudi Arabia,"NUF Chartered Accountants emerged as one of the most sought-after service provider in its field meeting various needs and demands of its clients operating in the local, regional and international markets. As its name features on the Approved List of Auditors of local banks and the free zones in the UAE.",http://www.nufca.com/,,https://arablocal.com/business/view/nuf-chartered-accountant,https://www.facebook.com/nufchartered,,https://www.linkedin.com/company/nadeem-umendra-chartered-accountants,,
accomodation,Al Qasr Mobile Co. for Caravans,+966 505332257,,,,"Makkah Road, Riyadh, Makkah Road, Riyadh, Riyadh Province, Saudi Arabia",Makkah Road,Riyadh Province,Saudi Arabia,Al Qasr Mobile Co. for Caravans,,,https://arablocal.com/business/view/al-qasr-mobile-co-for-caravans,,,,,
accessory,Bin Sayel Est For Trading,+966 12312388,,,,"Riyadh City, Riyadh, Riyadh Province, Saudi Arabia",Riyadh City,Riyadh Province,Saudi Arabia,"BIN SAYEL EST FOR TRADING is located in Riyadh, Saudi Arabia. Company is working in Clothing and Accessories, Shoes business activities.",,,https://arablocal.com/business/view/bin-sayel-est-for-trading,,,,,
accomodation,Ahla Umsiah Hotel Suites,+966 138099801,,,,"Al Salam Dist., Dammam, Al Salam Dist., Dammam, Eastern Province, Saudi Arabia",Al Salam Dist.,Eastern Province,Saudi Arabia,Ahla Umsiah Hotel Suites,,,https://arablocal.com/business/view/ahla-umsiah-hotel-suites,,,,,
acoustical-consultants,Al reyamah Est.,+966 126198685,,,,"40, Aziziyah Dist., Jeddah, Aziziyah Dist., Jeddah, Makkah Province, Saudi Arabia",40,Makkah Province,Saudi Arabia,Al reyamah Est.,,,https://arablocal.com/business/view/al-reyamah-est,,,,,
accessory,Alrajul Aljadid Est For Trading,+966 14778051,,,,"Riyadh City, Riyadh, Riyadh Province, Saudi Arabia",Riyadh City,Riyadh Province,Saudi Arabia,"ALRAJUL ALJADID EST FOR TRADING is located in Riyadh, Saudi Arabia. Company is working in Clothing and Accessories, Shoes business activities.",,,https://arablocal.com/business/view/alrajul-aljadid-est-for-trading,,,,,
accounting,Dar Al Taqwa for Zakat Consultancy and Income Tax and Value Added,+966 122345508,,,,"Salama Dist., Jeddah, Salama Dist., Jeddah, Makkah Province, Saudi Arabia",Salama Dist.,Makkah Province,Saudi Arabia,Dar Al Taqwa for Zakat Consultancy and Income Tax and Value Added,,,https://arablocal.com/business/view/dar-al-taqwa-for-zakat-consultancy-and-income-tax-and-value-added,,,,,
acoustical-consultants,Rolaco Arabian For Sounds And Lights Dhahran,+966 138650775,,,infoRASL@rolaco.com.sa,"King Saud Road, Doha Southern, Dhahran, Doha Southern, Dhahran, Asir Province, Saudi Arabia",King Saud Road,Asir Province,Saudi Arabia,Rolaco Arabian For Sounds And Lights Dhahran,http://www.rolaco.com.sa/en/content/material,,https://arablocal.com/business/view/rolaco-arabian-for-sounds-and-lights-dhahran,,,,,
accessory,Ashour A Economy Trading Corporation,+966 6910292,,,,"P.O.Box No : 1680 21441 , Jeddah, Makkah Province, Saudi Arabia",P.O.Box No : 1680 21441,Makkah Province,Saudi Arabia,"ASHOUR, A. ECONOMY TRADING CORP. is located in Jeddah, Saudi Arabia. Company is working in Clothing and Accessories, Chemicals, Plastic Products, Vehicle Services business activities.",,,https://arablocal.com/business/view/ashour-a-economy-trading-corporation,,,,,
accomodation,Ideal Choice Hotel suites,+966 138310888,,,,"Al Shatei Dist., Dammam, Al Shatei Dist., Dammam, Eastern Province, Saudi Arabia",Al Shatei Dist.,Eastern Province,Saudi Arabia,Ideal Choice Hotel suites,,,https://arablocal.com/business/view/ideal-choice-hotel-suites,,,,,
acoustical-consultants,ETECHS Al Khobar,+966 138599001,,,,"Khobar, Al Khobar, Khobar, Al Khobar, Eastern Province, Saudi Arabia",Khobar,Eastern Province,Saudi Arabia,ETECHS Al Khobar,http://www.etechsco.com/,,https://arablocal.com/business/view/etechs-al-khobar,,,https://www.linkedin.com/company/equipment-and-technical-services-co-etechs-hq/,,
accomodation,Arabian Co. For Fabricated Houses And Matel Works Kharj Road Riyadh,+966 505273121,+966 114021400,,,"Kharj Road, Riyadh, Kharj Road, Riyadh, Riyadh Province, Saudi Arabia",Kharj Road,Riyadh Province,Saudi Arabia,Arabian Co. For Fabricated Houses And Matel Works Kharj Road Riyadh,,,https://arablocal.com/business/view/arabian-co-for-fabricated-houses-and-matel-works-kharj-road-riyadh,,,,,
acoustical-consultants,Damaged architectural,+966 126634135,,,,"Arafat Street, Al Hamrah Dist, Jeddah, Al Hamrah Dist, Jeddah, Makkah Province, Saudi Arabia",Arafat Street,Makkah Province,Saudi Arabia,Damaged architectural,,,https://arablocal.com/business/view/damaged-architectural,,,,,
accounting,Azdan Computer Software Solutions,+966 537345206,,,,"King Fahd Branch Rd, Ulaya Dist, Tabuk, Tabuk Province, Saudi Arabia",King Fahd Branch Rd,Tabuk Province,Saudi Arabia,"We are a global firm of diverse, passionate, and exceptional people driven to answer real business challenges through innovation and deep industry knowledge.",http://www.azdan.com/,,https://arablocal.com/business/view/azdan-computer-software-solutions,https://www.facebook.com/azdanba/,,https://www.linkedin.com/company/azdanba/,https://twitter.com/azdanba,
accomodation,Al Lotus Hotel Apartments,+966 126520009,,,,"Al Hamrah Dist, Jeddah, Al Hamrah Dist, Jeddah, Makkah Province, Saudi Arabia",Al Hamrah Dist,Makkah Province,Saudi Arabia,Al Lotus Hotel Apartments,,,https://arablocal.com/business/view/al-lotus-hotel-apartments,,,,,
acoustical-consultants,Rolaco Arabian For Sounds And Lights Al Madinah Al Munawarah,+966 545193500,,,infoRASL@rolaco.com.sa,"Madinah, Al Madinah Al Munawarah, Madinah, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Madinah,Madinah Province,Saudi Arabia,Rolaco Arabian For Sounds And Lights Al Madinah Al Munawarah,http://www.rolaco.com.sa/en/content/material,,https://arablocal.com/business/view/rolaco-arabian-for-sounds-and-lights-al-madinah-al-munawarah,,,,,
accessory,Amir Ghalib Almahry Trading Est,+966 6625850,,,,"P.O. Box: 19308 , Jeddah, Makkah Province, Saudi Arabia",P.O. Box: 19308,Makkah Province,Saudi Arabia,"AMIR GHALIB AL-MAHRY TRADING EST. is located in Jeddah, Saudi Arabia. Company is working in Clothing and Accessories, Kids, Baby Clothing, Kids Clothing business activities.",,,https://arablocal.com/business/view/amir-ghalib-almahry-trading-est,,,,,
accessory,Batarfi Trading Est,+966 6444007,,,,"P.O. Box: 17079 , Jeddah, Makkah Province, Saudi Arabia",P.O. Box: 17079,Makkah Province,Saudi Arabia,"BA-TARFI TRDG. EST. is located in Jeddah, Saudi Arabia. Company is working in Kids, Baby Clothing, Kids Clothing business activities.",,,https://arablocal.com/business/view/batarfi-trading-est,,,,,
accounting,Refad Media,+966 138451424,,,,"Tarek Ben Ziad St., Al Rakah dist., Al Khobar, Al Rakah dist., Al Khobar, Eastern Province, Saudi Arabia",Tarek Ben Ziad St.,Eastern Province,Saudi Arabia,Refad Media,,,https://arablocal.com/business/view/refad-media,,,,,
acoustical-consultants,DSP Consultants In Saudi Arabia,+966 800850152,,,success.dsp1@gmail.com,"Golden Business Centre, Riyadh, Al Falah Dist., Riyadh, Riyadh Province, Saudi Arabia",Golden Business Centre,Riyadh Province,Saudi Arabia,"DSP Consultants is a leading Acoustic Consultancy in Dubai, that provides specialist advice on all aspects of acoustics, noise, and vibration for your buildings. We perform Acoustic Surveys, Noise and Vibration Studies, and reverberation criteria using advanced equipment and calibrated tools.For more information, visit: https://dsp-consultants.com/acoustic-consultants-dubai/",http://dsp-consultants.com/acoustic-consultants-dubai/,,https://arablocal.com/business/view/acoustic-consultants-in-saudi-arabia,https://www.facebook.com/DSPConsultantsMEA,,,,https://www.youtube.com/channel/UCH-pOTDV4SA4en1ZZjlLbAA
accessory,Ali Kids Garments Store,+966 26316359,,,,"Saheefah Dist., Jeddah, Makkah Province, Saudi Arabia",Saheefah Dist.,Makkah Province,Saudi Arabia,"Ali Kids Garments Store is located in Jeddah, Saudi Arabia. Company is working in Kids, Baby Clothing, Kids Clothing, Kids Shoes business activities.",,,https://arablocal.com/business/view/ali-kids-garments-store,,,,,
accomodation,Refaie Group Rouwais Jeddah,+966 126145151,,,,"Arab Business Center, Second Floor Office No 205, King Abdullah Road, Rouwais Dist., Jeddah, Rouwais Dist., Jeddah, Makkah Province, Saudi Arabia",Arab Business Center,Makkah Province,Saudi Arabia,Refaie Group Rouwais Jeddah,,,https://arablocal.com/business/view/refaie-group-rouwais-jeddah,,,,,
accounting,Digital Horizon,+966 532665664,+966 0126297339,,alikidsapp@gmail.com,"Khalid Ibn Al-Waleed, Al Sharafeyah, Sharafiyah Dist., Jeddah, Makkah Province, Saudi Arabia",Khalid Ibn Al-Waleed,Makkah Province,Saudi Arabia,"There is no doubt that you are looking for the best Al-Manara accounting and warehousing software. Here is the best and most powerful accounting program from Al-Manara Digital Horizon, the program is related to value-added tax, zakat and income, as well as the electronic invoice. Al-Manara program for restaurants, points of sale, cafes or cafes, pharmacies, and management of delegates and distribution. There is also a real estate property management program and a digital horizon for business ...",http://dh-sa.com/,,https://arablocal.com/business/view/dhsa,https://www.facebook.com/dhitksa,https://www.instagram.com/dhitksa,,https://www.twitter.com/dhitksa,
accomodation,Al Ansar Hotels Co.,+966 148385080,,,,"Harra Sharqiya, Al Madinah Al Munawarah, Harra Sharqiya, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Harra Sharqiya,Madinah Province,Saudi Arabia,Al Ansar Hotels Co.,,,https://arablocal.com/business/view/al-ansar-hotels-co,,,,,
accomodation,Osool Alnaseem,+966 126544794,,,,"Abu Dhar Ghaffari Street, Naseem Quarter, Jeddah, Naseem Quarter, Jeddah, Makkah Province, Saudi Arabia",Abu Dhar Ghaffari Street,Makkah Province,Saudi Arabia,Osool Alnaseem,,,https://arablocal.com/business/view/osool-alnaseem,,,,,
accessory,Ayman Ahmad Alqadhi Trading Est,+966 6484401,,,,"P.O. Box: 5033 , Jeddah, Makkah Province, Saudi Arabia",P.O. Box: 5033,Makkah Province,Saudi Arabia,"AYMAN AHMAD AL-QADHI TRADING EST. is located in Jeddah, Saudi Arabia. Company is working in Clothing and Accessories, Kids, Baby Clothing, Kids Clothing business activities.",,,https://arablocal.com/business/view/ayman-ahmad-alqadhi-trading-est,,,,,
accomodation,Ajwaa Hotels Group,+966 143900629,,,,"King Khalid Street, Madinah, Al Madinah Al Munawarah, Madinah, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",King Khalid Street,Madinah Province,Saudi Arabia,Ajwaa Hotels Group,,,https://arablocal.com/business/view/ajwaa-hotels-group,,,,,
accessory,Almal Trading Est,+966 6333615,,,,"P.O. Box: 18526 , Jeddah, Makkah Province, Saudi Arabia",P.O. Box: 18526,Makkah Province,Saudi Arabia,"AL-MAL TRDG. EST. is located in Jeddah, Saudi Arabia. Company is working in Clothing and Accessories, Kids, Baby Clothing, Kids Clothing business activities.",,,https://arablocal.com/business/view/almal-trading-est,,,,,
accomodation,Dammam Star Hotel,+966 138223014,,,,"King Saud St, Al Noor Dist., Dammam, Al Noor Dist., Dammam, Eastern Province, Saudi Arabia",King Saud St,Eastern Province,Saudi Arabia,Dammam Star Hotel,,,https://arablocal.com/business/view/dammam-star-hotel,,,,,
accounting,Cordis CRM Software,+966 594774201,,,mohsin.cordis01@gmail.com,"4415 Khalid Ibn Al Walid, Al Rakah Al Janubiyah, Al Khobar 34226 7882, Saudi Arabia, Al Rakah dist., Al Khobar, Eastern Province, Saudi Arabia",4415 Khalid Ibn Al Walid,Eastern Province,Saudi Arabia,"The Customer Relationship Management Software is an automated system that has the purpose of aiding businesses of various sizes in widening their reach in order to increase their customer base. The different tools that the CRM system comes equipped with not only assist them in reaching out to more potential customers but also have the aim of helping in retaining the present ones. By doing this, the CRM software becomes best for helping brands and companies in expanding and evolving significan...",http://www.cordis.us/saudi-arabia/customer-relationship-management-system/,,https://arablocal.com/business/view/cordis-crm-software,,,,,
accessory,Alshariff International Trade Co Ltd,+966 6213543,,,,"P.O. Box: 34604 , Jeddah, Makkah Province, Saudi Arabia",P.O. Box: 34604,Makkah Province,Saudi Arabia,"AL-SHARIFF INTL TRADE CO. LTD. is located in Jeddah, Saudi Arabia. Company is working in Clothing and Accessories, Kids, Baby Clothing, Kids Clothing business activities.",,,https://arablocal.com/business/view/alshariff-international-trade-co-ltd,,,,,
accomodation,Nofa Hotel Suites,+966 112175025,,,,"Ulaya Dist., Riyadh, Ulaya Dist., Riyadh, Riyadh Province, Saudi Arabia",Ulaya Dist.,Riyadh Province,Saudi Arabia,Nofa Hotel Suites,,,https://arablocal.com/business/view/nofa-hotel-suites,,,,,
accounting,Arabian Access Management Consultants In Saudi Arabia,+966 966 55004,,,info@arabianaccess.com,"Salah Al Din Al Ayoubi Rd, Riyadh , Malaz Kingdom of Saudi Arabia, Salah Al Deen Road, Riyadh, Riyadh Province, Saudi Arabia",Salah Al Din Al Ayoubi Rd,Riyadh Province,Saudi Arabia,Arabian Access is a business management consulting firm located in Saudi Arabia that provides a range of services to clients in the region.They deliver advice for ensuring the efficient and safe operation of enterprises. We have a team of highly qualified and efficient consultants who are committed to providing the best possible services . We offer auditing due to which Arabian access can assist businesses in ensuring their financial records are accurate and in compliance with regulatory requ...,http://arabianaccess.com/,,https://arablocal.com/business/view/arabian-access-management-consultants-in-saudi-arabia,https://www.facebook.com/ArabianAccessManagementConsultants/,,https://www.linkedin.com/company/arabian-access/,https://twitter.com/ArabianAccess,
accomodation,Al Qimma Atlas Hotel,+966 125694034,,,,"Aziziyah Dist., Jeddah, Aziziyah Dist., Jeddah, Makkah Province, Saudi Arabia",Aziziyah Dist.,Makkah Province,Saudi Arabia,Al Qimma Atlas Hotel,,,https://arablocal.com/business/view/al-qimma-atlas-hotel,,,,,
accounting,Espar International Co.,+966 505782098,,,,"Riyadh City, Riyadh, Riyadh City, Riyadh, Riyadh Province, Saudi Arabia",Riyadh City,Riyadh Province,Saudi Arabia,Espar International Co.,,,https://arablocal.com/business/view/espar-international-co,,,,,
accessory,Badr A Al Hokair Est For Trading,+966 14031969,,,,"Riyadh City, Riyadh, Riyadh Province, Saudi Arabia",Riyadh City,Riyadh Province,Saudi Arabia,"BADR A AL HOKAIR EST FOR TRADING is located in Riyadh, Saudi Arabia. Company is working in Clothing and Accessories, Shoes business activities.",,,https://arablocal.com/business/view/badr-a-al-hokair-est-for-trading,,,,,
accomodation,Al Muhaidib Furnished Apartments,+966 114632130,,,,"Al Farazdaq Road, Malaz Dist., Riyadh, Malaz Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Farazdaq Road,Riyadh Province,Saudi Arabia,Al Muhaidib Furnished Apartments,http://www.muhaidib.com/custom/sector/1,,https://arablocal.com/business/view/al-muhaidib-furnished-apartments,,,,,
activities-&-fireworks,Hi kids Tahliah Street Riyadh,,,,info@hikids.com.sa,"Localizer Mall, Tahliah Street, Riyadh, Tahliah Street, Riyadh, Riyadh Province, Saudi Arabia",Localizer Mall,Riyadh Province,Saudi Arabia,Hi kids Tahliah Street Riyadh,http://hikids.com.sa/arabic/,,https://arablocal.com/business/view/hi-kids-tahliah-street-riyadh,https://www.facebook.com/hikids.candy,https://www.instagram.com/hikids_ksa/?hl=en,,https://twitter.com/hikids_ksa,
accessory,Amin Naji Abduljalil Sultan Trading And Import Est,+966 6481065,,,,"P.O. Box: 17456 , Jeddah, Makkah Province, Saudi Arabia",P.O. Box: 17456,Makkah Province,Saudi Arabia,"AMIN NAJI ABDULJALIL SULTAN TRDG. AND IMPORT EST. is located in Jeddah, Saudi Arabia. Company is working in Kids, Baby Clothing, Kids Clothing business activities.",,,https://arablocal.com/business/view/amin-naji-abduljalil-sultan-trading-and-import-est,,,,,
accounting,KBA ACCOUNTING AND BOOKKEEPING SERVICES,,,,kbadubai@gmail.com,"801,api world tower,sheikh zayed rd,dubai, NEOMx, Sharma, Tabuk Province, Saudi Arabia",801,Tabuk Province,Saudi Arabia,"Professional Accounting And Bookkeeping Services in Dubai, UAE | VAT Consultants in Dubai, UAE KBA Accounting and Bookkeeping Services LLC is UAE registered and approved Tax Agency by the Federal Tax Authority (FTA) with TAN 30001937 and financial services consultancy, providing cost effective value added solutions to meet all your business needs under one roof.KBA covers a wide range of accountancy services, from management accounts and business planning to VAT returns and Payroll. Our accou...",http://www.kbame.com,,https://arablocal.com/business/view/kba-accounting-and-bookkeeping-services,https://www.facebook.com/kbadubai/,https://www.instagram.com/kbadubai/,https://ae.linkedin.com/company/kbame,https://twitter.com/kba_llc,https://www.youtube.com/channel/UCMG0pVR2FPNPDfcRnmSqRyg
advertising,Saeen Advertising Boards Co.,+966 115108946,,,,"New Industrial, Riyadh, New Industrial, Riyadh, Riyadh Province, Saudi Arabia",New Industrial,Riyadh Province,Saudi Arabia,Saeen Advertising Boards Co.,,,https://arablocal.com/business/view/saeen-advertising-boards-co,,,,,
advertising,Trigon LLC,+966 114603114,,,ksa@trigononline.com,"Office-508, Al Rossais Commercial Center Olaya Street, Ulaya Dist., Riyadh, Riyadh Province, Saudi Arabia",Office-508,Riyadh Province,Saudi Arabia,"Trigon LLC is a well-established and popular IT Distribution company with its Head Office in UAE and branch offices in KSA & Bahrain working continuously with various segments like Health Care, Education & Corporate Sectors. Kindly visit our website www.trigononline.com for a detailed range of products (Ergotron, Elo Touch Solutions – Touch Screen Monitors, LG, Creative, Optoma, Transcend, Mustek, PenPower etc.,) that we offer. We have an excellent track record for the best customer satisfact...",http://www.trigononline.com/,,https://arablocal.com/business/view/trigon-llc,,,,,
advertising,Concept Signage Company Riyadh Saudi Arabia,+966 596880786,+966 11 445019,,conceptksa1@gmail.com,"al salhiah al frazdaq street, riyadh saudi arabia, Al Saleihyah Dist., Riyadh, Riyadh Province, Saudi Arabia",al salhiah al frazdaq street,Riyadh Province,Saudi Arabia,"Concept advertising is a billboard company witch manufactures, installs and maintains all types of indoor and out door advertisement billboards, signage, metal structures and electronic billboards since 1998, also in order to meet the clients, demands in both the public and private sectors, as well as middle est needs in out door advertising. The company also provides all maintenance requirements for existing billboards in terms of electrical and mechanical repaires. Sunshine enjoys specializ...",http://www.conceptksa.com,,https://arablocal.com/business/view/concept-signage-company-riyadh-saudi-arabia,https://www.facebook.com/pg/conceptksa/about/?ref=page_internal,https://www.instagram.com/conceptksa/,https://www.linkedin.com/in/concept-advertising-89a321125/,https://twitter.com/search?q=SunShineAdvSA,https://www.youtube.com/my_videos?o=U
advertising,Dar Systems Electrical Panels Factory Factory,+966 114980822,,,,"2nd Industrial City, Riyadh, 2nd Industrial City, Riyadh, Riyadh Province, Saudi Arabia",2nd Industrial City,Riyadh Province,Saudi Arabia,Dar Systems Electrical Panels Factory Factory,,,https://arablocal.com/business/view/dar-systems-electrical-panels-factory-factory,,,,,
advertising,Al Talal Modern Est.,+966 126712723,,,,"Mustafa Al bkri St., Faisaliyah Dist., Jeddah, Faisaliyah Dist., Jeddah, Makkah Province, Saudi Arabia",Mustafa Al bkri St.,Makkah Province,Saudi Arabia,Al Talal Modern Est.,,,https://arablocal.com/business/view/al-talal-modern-est,,,,,
advertising,Channels Era Advertising Agency,+966 05 4037,+966 05 9999,,info@ce-adv.com,"3640 Prince Bandar Bin Abdulaziz, King Faisal St. Unit 6 Riyadh 13215-6099, King Faisal Dist., Riyadh, Riyadh Province, Saudi Arabia",3640 Prince Bandar Bin Abdulaziz,Riyadh Province,Saudi Arabia,"Channels Era (CE) Advertising Agency is one of the most innovative advertising agencies in Riyadh. We always strive to accomplish challenging role with our diversified and dynamic team members. Our serve in multifarious sections in the field of marketing including branding, advertising, marketing, web designing, graphic designing, printing, creative event planning, strategy making and many others.",,,https://arablocal.com/business/view/channels-era-advertising-agency,,,,,
advertising,Signage Company In Saudi Arabia | ProSigns Global KSA,+966 126190223,,,hello@sa.prosignsglobal.com,"Prosigns Global KSA,Warehouse 1A, Jeddah Chamber Warehouses City, Al-Khumra, Post-Box No 16301, Jeddah 21462, Kingdom of Saudi Arabia, Al Orouba St., Jeddah, Makkah Province, Saudi Arabia",Prosigns Global KSA,Makkah Province,Saudi Arabia,"Prosigns Global is one of the most professional digital signage and wayfinding manufacturers in Saudi Arabia. With a dynamic team of skilled individuals from a variety of professional backgrounds, we aim to deliver clients with tailor-made solutions, and ultimately, outstanding results. At Prosigns, we offer high-quality touch screens and display solutions to meet the demand of various industries in the global market. As a leading sign fabricator in the region, we achieve excellence in implem...",http://sa.prosignsglobal.com,,https://arablocal.com/business/view/signage-company-in-saudi-arabia-prosigns-global-ksa,https://www.facebook.com/ProSignsGlobal/,https://www.instagram.com/prosigns_global/,https://www.linkedin.com/company/pro-signs-global/,,https://www.youtube.com/channel/UCuAQYdqsf8HsbHHobRiqvBg
advertising,Asateer Art Production And Distribution Est,+966 114940517,+966 559980134,,asateer.sa@gmail.com,"Olaya Main St, Beside Alhomrani, Ulaya Dist, PO Box 66323, Postal Code 11576, Al Nakheel Dist., Riyadh, Riyadh Province, Saudi Arabia",Olaya Main St,Riyadh Province,Saudi Arabia,"Asateer Art Production & Distribution Est is located in Riyadh, Saudi Arabia. Company is working in Advertising, 3D Displays, Video Production, Film, Television and Video, Film and TV Production, Media Production business activities. Visit our company website for more information about us : http://​asateerart.com.sa If you have any questions, please contact us.",http://asateerart.com.sa/,,https://arablocal.com/business/view/asateer-art-production-and-distribution-est,https://www.facebook.com/asateerart,,,https://twitter.com/AsateerSa,
advertising,Watheq Advertising Agency,+966 114288882,,,,"Sweidy Dist., Riyadh, Sweidy Dist., Riyadh, Riyadh Province, Saudi Arabia",Sweidy Dist.,Riyadh Province,Saudi Arabia,Watheq Advertising Agency,http://www.watheq-sms.com,,https://arablocal.com/business/view/watheq-advertising-agency,https://www.facebook.com/pages/%D9%88%D9%83%D8%A7%D9%84%D8%A9-%D9%88%D8%A7%D8%AB%D9%82-%D9%84%D9%84%D8%AF%D8%B9%D8%A7%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D8%A5%D8%B9%D9%84%D8%A7%D9%86/300274055616,,,https://twitter.com/watheq1,
advertising,Color Design Advertising,+966 114568222,+966 558751296,,info@colordesignadv.com,"Khalidyah, Riyadh, Riyadh, Saudi Arabia, Al Khalidiyah, Riyadh, Riyadh Province, Saudi Arabia",Khalidyah,Riyadh Province,Saudi Arabia,"Color & Design has become one of the top advertising agencies in Kingdom of Saudi Arabia in no time due to its client’s oriented operational character and a bunch of experienced team members. We are happily blessed with our amazing partner’s testimonial and usual support. Our digital printing, advertising and marketing services has no competition so far in terms of quick, same day delivery and quality media. Color & Design is not only an advertising agency but more of a marketing partner who ...",http://colordesignadv.com/,,https://arablocal.com/business/view/color-design-advertising,https://www.facebook.com/colordesignadv,https://www.instagram.com/colordesignadvertising,https://www.linkedin.com/company/11300972,https://twitter.com/ColorDesignAdv,https://www.youtube.com/channel/UCSQB-q0zDkH1OMZpYDTNFCQ?view_as=subscriber
advertising,Color Design,+966 557842595,,,admin@colordesignksa.com,"PO Box 40146 Riyadh 11461 Deirah Street, King Faisal Road, Al Dirah, Riyadh, Riyadh Province, Saudi Arabia",PO Box 40146 Riyadh 11461 Deirah Street,Riyadh Province,Saudi Arabia,"Dear Gentlemen Assalamualikum !!!! We are performing all type of graphics designing works professionally !!!! Just dial the number and judge our WORK . >> Logo and Graphic Designing. >> Corporate Identity, Brochures, Flyers and all printing JOBS . >> Website Designing and Development. >> According to the Title we are providing short description below: 1) ADVERTISING : We are making billboards of many kind according to the desire of the customer as expected of any type. Examples: Neon Sign, Le...",http://colordesignksa.com/,,https://arablocal.com/business/view/color-design-1,,,,,
advertising,Ebdaa Company For Advertising Media Production,+966 114105882,,,,"2nd Industrial City, Riyadh, 2nd Industrial City, Riyadh, Riyadh Province, Saudi Arabia",2nd Industrial City,Riyadh Province,Saudi Arabia,Ebdaa Company For Advertising Media Production,,,https://arablocal.com/business/view/ebdaa-company-for-advertising-media-production,,,,,
advertising,Creative Blend Advertising Agency,+966 114711147,,,HELLO@CREATIVEBLEND.COM.SA,"Prince Abdulaziz bin Thunayan Street, King Saud University, Ground Floor, Office 3, Al Nakheel Dist., Riyadh, Riyadh Province, Saudi Arabia",Prince Abdulaziz bin Thunayan Street,Riyadh Province,Saudi Arabia,"Integrating advertising, marketing and professionalism is the cornerstone of Creative Blend. As a Saudi-based agency serving the MENA region, Creative Blend utilizes international standards, experience and ability to create innovative advertising solutions for our clients to give them a distinct advantage in their market niche. Our vision is to become the leading advertising agency in the MENA region and our team of experienced professionals strive to achieve that goal with every client we ta...",http://www.creativeblend.com.sa,,https://arablocal.com/business/view/creative-blend-advertising-agency,https://www.facebook.com/CreativeBlendSA,,https://www.linkedin.com/company/creativeblendsa/,https://twitter.com/creativeblendsa,https://www.youtube.com/channel/UC5dTmyqB8atR28j4lEyVKig
