Name,Phone_1,Phone_2,Email,Location,Area,Governorate,Country,About,Website,Rating,Views,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
Al Ghafia Manufacturing LLC,+971 43411949,,,Box No. 114006,Dubai Others,Dubai,UAE,"AL GHAFIA MANUFACTURING LLC is located in Dubai, UAE. Company is working in General Office Services, Office Furniture, Wooden Products business activities.",,,804,https://uae.arablocal.com/business/view/al-ghafia-manufacturing-llc,,,,,
Ajax Sports Tailoring,+971 65346060,,,"University Road, Industrial Area 17, P.O. Box: 24030",Industrial Area 17,Sharjah,UAE,"Ajax Sports Tailoring is located in Sharjah, UAE. Company is working in Clothing and Accessories business activities.",,,805,https://uae.arablocal.com/business/view/ajax-sports-tailoring,,,,,
Lazer Clean Middle East LLC,+971 48856565,,,Dubai,Dubai Investment Park - 1,Dubai,UAE,Lazer Clean Middle East LLC,,,801,https://uae.arablocal.com/business/view/lazer-clean-middle-east-llc,,,,,
Al Barik Engineering,+971 67431767,,,Ajman,Ajman Industrial 2,Ajman,UAE,Al Barik Engineering,,,794,https://uae.arablocal.com/business/view/al-barik-engineering,,,,,
Gulf Carpet International FZE Jebel Ali Free Zone Dubai,+971 48812654,,,"Sheikh Zayed Road,",Jebel Ali Freezone,Dubai,UAE,Gulf Carpet International FZE Jebel Ali Free Zone Dubai,,,786,https://uae.arablocal.com/business/view/gulf-carpet-international-fze-jebel-ali-free-zone-dubai,,,,,
Nada Water Distillery and Distribution,+971 67461599,,,Ajman,Al Nuaimia 1,Ajman,UAE,Nada Water Distillery and Distribution,,,785,https://uae.arablocal.com/business/view/nada-water-distillery-and-distribution,,,,,
Emirates Sweet Water,+971 72288191,,,Ras Al Khaimah,Al Mamourah,Ras Al Khaimah,UAE,Emirates Sweet Water,,,784,https://uae.arablocal.com/business/view/emirates-sweet-water,,,,,
Millenium Sweet Water Bottling,+971 72354522,,,Ras Al Khaimah,Al Dhait South,Ras Al Khaimah,UAE,Millenium Sweet Water Bottling,,,785,https://uae.arablocal.com/business/view/millenium-sweet-water-bottling,,,,,
A and M Machinery Trading FZE,+971 67456690,,,"Ajman Free Zone,",Ajman Free Zone,Ajman,UAE,A and M Machinery Trading FZE,,,782,https://uae.arablocal.com/business/view/a-and-m-machinery-trading-fze,,,,,
Allied Technical Services,+971 2719171,,,Box No. 82414,Dubai Others,Dubai,UAE,"ALLIED TECHNICAL SERVICES is located in Dubai, UAE. Company is working in Carpentry & Flooring, Contractors, Decoration Materials & Partitions business activities.",,,776,https://uae.arablocal.com/business/view/allied-technical-services,,,,,
Al Dana Mineral Water,+971 92232110,,,"Industrial Area 4,",Sakamkam,Fujairah,UAE,Al Dana Mineral Water,,,772,https://uae.arablocal.com/business/view/al-dana-mineral-water,,,,,
Al Manar Stamps,+971 65392035,,,"Sultan Rashid Ibrahim Building, Ground floor# 3,",Muweilah,Sharjah,UAE,Al Manar Stamps,,,774,https://uae.arablocal.com/business/view/al-manar-stamps,,,,,
Rahatech General Maintenance,+971 43389897,,,Area :,Dubai Others,Dubai,UAE,"Rahatech General Maintenance is located in Dubai, UAE. Company is working in Clothing and Accessories business activities.",,,761,https://uae.arablocal.com/business/view/rahatech-general-maintenance,,,,,
Bright Sun Technical Works LLC,+971 2726257,,,Box No. 96993,Corniche,Abu Dhabi,UAE,"BRIGHT SUN TECHNICAL WORKS LLC is located in Dubai, UAE. Company is working in Professional Services, Air Conditioning, Carpentry & Flooring, Contractors, Decoration Materials & Partitions, Electromechanical Equipment Installation, Plumbing & Sanitary business activities.",,,766,https://uae.arablocal.com/business/view/bright-sun-technical-works-llc,,,,,
Al Jihad Stamps,+971 26769244,,,"Office # 101, Mezzanine Floor, Al Sayed Bldg, Al Najda St.,",Al Danah,Abu Dhabi,UAE,Al Jihad Stamps,,,768,https://uae.arablocal.com/business/view/al-jihad-stamps,,,,,
Gulfa Mineral Water and Processing Industries Co Ltd Al Nuaimia Ajman,+971 65591263,,,Sharjah,Al Nuaimia,Sharjah,UAE,Gulfa Mineral Water and Processing Industries Co Ltd Al Nuaimia Ajman,,,758,https://uae.arablocal.com/business/view/gulfa-mineral-water-and-processing-industries-co-ltd-al-nuaimia-ajman,,,,,
Kwality Plastics Industry LLC,+971 67481758,,,Sharjah,Ajman Industrial Area 2,Ajman,UAE,Kwality Plastics Industry LLC,,,757,https://uae.arablocal.com/business/view/kwality-plastics-industry-llc,,,,,
Asetuaecom,+971 45576800,,,Area :,Ziyani,Abu Dhabi,UAE,"Aset-uae.com is one of the Best Online Shopping site in Dubai & UAE offering Best Deals on Mobile Phones, Electronics, Fashion, Home & Kitchen, Perfumes & much more. Visit & Explore amazing products online, Order & Get fastest delivery all over UAE.",,,755,https://uae.arablocal.com/business/view/asetuaecom,,,,,
Anjani Trading LLC,+971 2351659,,,Box No. 45761,Dubai Others,Dubai,UAE,"ANJANI TRADING LLC is located in Dubai, UAE. Company is working in Beauty Products, Cosmetics, Clothing and Accessories, Shoes, Gifts, Handbags & Leather Products business activities. If you have any questions, please contact us",,,744,https://uae.arablocal.com/business/view/anjani-trading-llc,,,,,
Al Nouras Turning Works,+971 42857604,,,"Umm Ramool,",Al Rashidiya,Dubai,UAE,Al Nouras Turning Works,,,749,https://uae.arablocal.com/business/view/al-nouras-turning-works,,,,,
Abu Haider Turning and Blacksmith Workshop,+971 25554574,,,Abu Dhabi,Mussafah 5,Abu Dhabi,UAE,Abu Haider Turning and Blacksmith Workshop,,,744,https://uae.arablocal.com/business/view/abu-haider-turning-and-blacksmith-workshop,,,,,
Al Bait Al Kabir Trd Est,+971 65556232,,,Sharjah,Abu Shagara,Sharjah,UAE,Al Bait Al Kabir Trd Est,,,742,https://uae.arablocal.com/business/view/al-bait-al-kabir-trd-est,,,,,
Al Ghouthia Furniture,+971 65615714,,,Sharjah,Al Ghuwair,Sharjah,UAE,Al Ghouthia Furniture,,,741,https://uae.arablocal.com/business/view/al-ghouthia-furniture,,,,,
Euro Plastic Industry,+971 65575125,,,"SAIF Zone,",Saif Zone,Sharjah,UAE,Euro Plastic Industry,,,735,https://uae.arablocal.com/business/view/euro-plastic-industry,,,,,
Multi Technologies FZE,+971 48819982,,,"Near R/A 13,Jebel Ali,",Jebel Ali,Dubai,UAE,Multi Technologies FZE,,,732,https://uae.arablocal.com/business/view/multi-technologies-fze,,,,,
Sporting Trends Llc,+971 42944244,,,Box No. 22700,Dubai Others,Dubai,UAE,"SPORTING TRENDS LLC is located in Dubai, UAE. Company is working in Sports, Fitness Equipment, Clothing and Accessories, Sportswear business activities.",,,734,https://uae.arablocal.com/business/view/sporting-trends-llc,,,,,
Automech Engineering Co WLL,+971 25515115,,,"M - 40 Street,Sanaya, Mussafah (M-40),",Musaffah,Abu Dhabi,UAE,Automech Engineering Co WLL,,,730,https://uae.arablocal.com/business/view/automech-engineering-co-wll,,,,,
Luxury House Trading Llc,+971 42683382,,,Box No. 6306,Dubai Others,Dubai,UAE,"LUXURY HOUSE TRADING LLC is located in Dubai, UAE. Company is working in Beauty Products, Cosmetics, Clothing and Accessories, Shoes business activities.",,,729,https://uae.arablocal.com/business/view/luxury-house-trading-llc,,,,,
Almanama Falcon Technical Services LLC,+971 2722316,,,Box No. 40441,Jebel Ali Freezone,Dubai,UAE,"ALMANAMA FALCON TECHNICAL SERVICES LLC is located in Dubai, UAE. Company is working in Carpentry & Flooring, Contractors business activities. Visit our company website for more information about us : http://www.almanamafalcon.com",,,726,https://uae.arablocal.com/business/view/almanama-falcon-technical-services-llc,,,,,
Norpak LLC,+971 43478023,,,"Al Quoz Industrial Area# 3,",Al Quoz Industrial Area 3,Dubai,UAE,,,,726,https://uae.arablocal.com/business/view/norpak-llc,,,,,
Fass Trading Llc,+971 2876499,,,Box No. 34401,Dubai Others,Dubai,UAE,"FASS TRADING LLC is located in Dubai, UAE. Company is working in Advertising, Newspaper Publishers, Trading, Blankets, Towels, Linens Trading, Online Content, News, Beauty Products, Cosmetics, Clothing and Accessories, Shoes, Gifts, Jewellery, Imitation Jewellery, Handbags & Leather Products business activities.",,,723,https://uae.arablocal.com/business/view/fass-trading--llc,,,,,
Al Kuwait Engineering Turning Workshop,+971 65326135,,,Sharjah,Industrial Area 4,Sharjah,UAE,Al Kuwait Engineering Turning Workshop,,,722,https://uae.arablocal.com/business/view/al-kuwait-engineering-turning-workshop,,,,,
Accurate T S W Workshop LLC,+971 43401512,,,"Al Quoz Ind. Third,",Al Quoz,Dubai,UAE,Accurate T S W Workshop LLC,,,722,https://uae.arablocal.com/business/view/accurate-t-s-w-workshop-llc,,,,,
Floortech Interiors FZC Sharjah,+971 65578707,,,"Saif Zone,",Saif Zone,Sharjah,UAE,Floortech Interiors FZC Sharjah,,,715,https://uae.arablocal.com/business/view/floortech-interiors-fzc-sharjah,,,,,
Akma General Trading LLC,+971 67486966,,,"Ajman Ind,",Ajman Industrial 1,Ajman,UAE,Akma General Trading LLC,,,715,https://uae.arablocal.com/business/view/akma-general-trading-llc,,,,,
Al Saraya Trading Company LLC Sharjah,+971 65727013,,,Po Box 23819,Sharjah Others,Sharjah,UAE,"AL SARAYA TRADING COMPANY L.L.C. is located in Sharjah, UAE. Company is working in Wooden Products business activities.",,,710,https://uae.arablocal.com/business/view/al-saraya-trading-company--llc-sharjah,,,,,
Al Adhid General Land Transport,+971 42899213,,,Dubai,Ras Al Khor Industrial Area 2,Dubai,UAE,Al Adhid General Land Transport,,,710,https://uae.arablocal.com/business/view/al-adhid-general-land-transport,,,,,
Awafi Mineral Water Est Fujairah,+971 92564222,,,"Masafi,",Masafi,Fujairah,UAE,Awafi Mineral Water Est Fujairah,,,699,https://uae.arablocal.com/business/view/awafi-mineral-water-est-fujairah,,,,,
Al Waseela General Contracting Company W L L,+971 6424255,,,P.O Box 51570,Dubai Others,Dubai,UAE,"AL WASEELA GENERAL CONTRACTING COMPANY W L L is located in Dubai, UAE. Company is working in Clothing and Accessories business activities.",,,697,https://uae.arablocal.com/business/view/al-waseela-general-contracting-company-w-l-l,,,,,
Kawthar Sewing Machines Trading LLC,+971 42250622,+971 555199555,,"Rashid Ahmad Al Haydan Building, Shop # 4, Al Dagayah Street-Gold Souq,",Deira,Dubai,UAE,Kawthar Sewing Machines Trading LLC,,,694,https://uae.arablocal.com/business/view/kawthar-sewing-machines-trading-llc,,,,,
Green Age Partners,+971 44275020,+971 506974248,,"Ground Floor, Warehouse, Office #417,",Dubai Maritime City,Dubai,UAE,Green Age Partners,,,698,https://uae.arablocal.com/business/view/green-age-partners,,,,,
Hind Garments Shop,+971 26348177,,,Area :,Abu Dhabi City,Abu Dhabi,UAE,"Hind Garments Shop is located in Abu Dhabi, UAE. Company is working in Clothing and Accessories business activities.",,,692,https://uae.arablocal.com/business/view/hind-garments-shop,,,,,
Al Heraibi Fashion Branch,+971 37518516,+971 7519931,,P.O Box 16418,Al Ain,Abu Dhabi,UAE,"Al Heraibi Fashion - Branch is located in Al Ain, UAE. Company is working in Clothing and Accessories business activities.",,,685,https://uae.arablocal.com/business/view/al-heraibi-fashion-branch,,,,,
Dream Star Trading Llc,+971 2257343,,,Box No. 64540,Dubai Others,Dubai,UAE,"DREAM STAR TRADING LLC is located in Dubai, UAE. Company is working in Trading, Blankets, Towels, Linens Trading, Gifts, Jewellery, Imitation Jewellery, Handbags & Leather Products business activities. If you have any questions, please contact us",,,684,https://uae.arablocal.com/business/view/dream-star-trading--llc,,,,,
Al Bustan Trading LLC,+971 42263641,+971 3939769,,Area :,Dubai Others,Dubai,UAE,"AL BUSTAN TRADING LLC is located in Dubai, UAE. Company is working in Beauty Products, Cosmetics, Clothing and Accessories, Shoes, Textile business activities.",,,683,https://uae.arablocal.com/business/view/al-bustan-trading-llc,,,,,
Adhwa Al Aqsa Engineering Turning,+971 65420668,,,Sharjah,Industrial Area 6,Sharjah,UAE,Adhwa Al Aqsa Engineering Turning,,,683,https://uae.arablocal.com/business/view/adhwa-al-aqsa-engineering-turning,,,,,
Al Daama Corporation LLC,+971 43199096,+971 505015626,,"Floor # 41, Emirates Towers, Trade Center First,",Al Zaabeel,Dubai,UAE,Al Daama Corporation LLC,,,682,https://uae.arablocal.com/business/view/al-daama-corporation-llc,,,,,
Model Trading Br,+971 2256756,,,Box No. 19386,Dubai Others,Dubai,UAE,"MODEL TRADING (BR) is located in Dubai, UAE. Company is working in Beauty Products, Cosmetics, Clothing and Accessories, Ladies Clothing, Shoes, Gifts, Jewellery, Imitation Jewellery, Kids, Baby Clothing, Handbags & Leather Products business activities.",,,679,https://uae.arablocal.com/business/view/model-trading-br,,,,,
Emirates Natural Drinking Water Co Dubai,+971 42228958,,,Dubai,Al Quoz Industrial Area 2,Dubai,UAE,Emirates Natural Drinking Water Co Dubai,,,675,https://uae.arablocal.com/business/view/emirates-natural-drinking-water-co-dubai,,,,,
Nasser Yousef Mohammed Trading Est,+971 42257409,,,Box No. 3575,Dubai Others,Dubai,UAE,"NASSER YOUSEF MOHD TRADING EST. is located in Dubai, UAE. Company is working in Beauty Products, Cosmetics, Clothing and Accessories, Shoes business activities.",,,675,https://uae.arablocal.com/business/view/nasser-yousef-mohammed-trading-est,,,,,
Al Naseeb Machine Spare Parts Manufacturing LLC,+971 67481662,,,Ajman,Ajman Industrial 2,Ajman,UAE,Al Naseeb Machine Spare Parts Manufacturing LLC,,,675,https://uae.arablocal.com/business/view/al-naseeb-machine-spare-parts-manufacturing-llc,,,,,
Hamana Trading,+971 3538140,,,Box No. 12635,Dubai Others,Dubai,UAE,"HAMANA TRADING is located in Dubai, UAE. Company is working in Trading, Blankets, Towels, Linens Trading, Beauty Products, Cosmetics, Clothing and Accessories, Shoes, Gifts, Jewellery, Imitation Jewellery, Handbags & Leather Products business activities.",,,674,https://uae.arablocal.com/business/view/hamana-trading,,,,,
Al Haseer Bags and Watches Trading,+971 65628249,,,Sharjah,Al Ghuwair,Sharjah,UAE,Al Haseer Bags and Watches Trading,,,674,https://uae.arablocal.com/business/view/al-haseer-bags-and-watches-trading,,,,,
Pourgholam Trading Co Llc,,,,P.O. Box: 41814,Dubai Others,Dubai,UAE,"POURGHOLAM TRADING CO (L.L.C) is located in Dubai, UAE. Company is working in Handbags & Leather Products business activities.",,,673,https://uae.arablocal.com/business/view/pourgholam-trading-co-llc,,,,,
H S K Trading Llc,+971 2266716,,,Box No. 75467,Dubai Others,Dubai,UAE,"H S K TRADING LLC is located in Dubai, UAE. Company is working in Advertising, Newspaper Publishers, Trading, Agarwood & Incense Trading, Online Content, News, Beauty Products, Cosmetics, Clothing and Accessories, Shoes, Gifts, Jewellery, Imitation Jewellery, Handbags & Leather Products business activities.",,,672,https://uae.arablocal.com/business/view/h-s-k-trading-llc,,,,,
Al Satwa Star Readymade Garments,+971 43447960,,,Area :,Dubai Others,Dubai,UAE,"Al Satwa Star Readymade Garments is located in Dubai, UAE. Company is working in Clothing and Accessories business activities.",,,671,https://uae.arablocal.com/business/view/al-satwa-star-readymade-garments,,,,,
Nana Shoes Trading Est,+971 6522923,,,P.O. Box: 2859,Sharjah Others,Sharjah,UAE,"NANA SHOES TRADING EST is located in Sharjah, UAE. Company is working in Professional Services, Tailors, Clothing and Accessories, Boutiques business activities.",,,670,https://uae.arablocal.com/business/view/nana-shoes-trading-est,,,,,
brg Interiors,+971 44527877,,,"JBC 4, #1903,",Jumeirah Lakes towers,Dubai,UAE,brg Interiors,,,663,https://uae.arablocal.com/business/view/brg-interiors,,,,,
Al Nafi Trading Company ANTC FZC,+971 65656574,,,"Hamriyah,",Hamriyah,Sharjah,UAE,Al Nafi Trading Company ANTC FZC,,,665,https://uae.arablocal.com/business/view/al-nafi-trading-company-antc-fzc,,,,,
Khwair Gulf Trading Llc,+971 2259377,,,Box No. 40520,Dubai Others,Dubai,UAE,"KHWAIR GULF TRADING LLC is located in Dubai, UAE. Company is working in Trading, Blankets, Towels, Linens Trading, Beauty Products, Cosmetics, Clothing and Accessories, Shoes, Gifts, Jewellery, Imitation Jewellery, Textile business activities.",,,660,https://uae.arablocal.com/business/view/khwair-gulf-trading-llc,,,,,
Al Dana Leather Products,,,,Po Box 16815,Al Ain,Abu Dhabi,UAE,"AL DANA LEATHER PRODUCTS is located in Al Ain, UAE. Company is working in Handbags & Leather Products business activities.",,,656,https://uae.arablocal.com/business/view/al-dana-leather-products,,,,,
Hands Industries LLC,+971 43394002,,,Dubai,Al Quoz Industrial Area 2,Dubai,UAE,Hands Industries LLC,,,655,https://uae.arablocal.com/business/view/hands-industries-llc,,,,,
Monaco Fashion And Shoes,+971 65593660,,,"Opposite City Center, St, P.O. Box: 38949",Al Wahda,Sharjah,UAE,"Monaco Fashion and Shoes is located in Sharjah, UAE. Company is working in Clothing and Accessories, Shoes, Boutiques, Jewellery, Handbags & Leather Products business activities.",,,654,https://uae.arablocal.com/business/view/monaco-fashion-and-shoes,,,,,
Wadi Al Ain Trading and Distribution Pure Natural Water Est,+971 48830616,,,Dubai,Jebel Ali Freezone,Dubai,UAE,Wadi Al Ain Trading and Distribution Pure Natural Water Est,,,653,https://uae.arablocal.com/business/view/wadi-al-ain-trading-and-distribution-pure-natural-water-est,,,,,
Al Kissa Readymade,+971 42271642,,,Area :,Dubai Others,Dubai,UAE,"Al Kissa Readymade is located in Dubai, UAE. Company is working in Clothing and Accessories business activities.",,,649,https://uae.arablocal.com/business/view/al-kissa-readymade,,,,,
AJ Lathe Works,+971 67480322,,,Ajman,Ajman Industrial 2,Ajman,UAE,AJ Lathe Works,,,648,https://uae.arablocal.com/business/view/aj-lathe-works,,,,,
Abdulla Moosa Furnitures,+971 42722043,,,"Ground Floor,",Al Murar,Dubai,UAE,Abdulla Moosa Furnitures,,,646,https://uae.arablocal.com/business/view/abdulla-moosa-furnitures,,,,,
Al Ghadeer Mineral Water Distribution Est,+971 25551324,,,Abu Dhabi,Mussafah 17,Abu Dhabi,UAE,Al Ghadeer Mineral Water Distribution Est,,,643,https://uae.arablocal.com/business/view/al-ghadeer-mineral-water-distribution-est,,,,,
Mostfirm Trading Enterprises,+971 4344294,,,P.O. Box: 3197,Dubai Others,Dubai,UAE,"MOSTFIRM TRADING ENTERPRISES is located in Dubai, UAE. Company is working in Fashion, Fabric, Clothing and Accessories business activities.",,,636,https://uae.arablocal.com/business/view/mostfirm-trading-enterprises,,,,,
Two Golden Star Technical Works,+971 2721313,,,Box No. 82058,Dubai Others,Dubai,UAE,"TWO GOLDEN STAR TECHNICAL WORKS is located in Dubai, UAE. Company is working in Carpentry & Flooring, Contractors, Electromechanical Equipment Installation business activities.",,,641,https://uae.arablocal.com/business/view/two-golden-star-technical-works,,,,,
Al Mawda Shela And Abaya,+971 37511250,,,Area :,Al Ain,Abu Dhabi,UAE,"Al Mawda Shela & Abaya is located in Al Ain, UAE. Company is working in Clothing and Accessories business activities.",,,644,https://uae.arablocal.com/business/view/al-mawda-shela--and-abaya,,,,,
Al Badaya Trading Est,+971 42728812,,,Dubai,Al Souk Al Kabeer,Dubai,UAE,Al Badaya Trading Est,,,640,https://uae.arablocal.com/business/view/al-badaya-trading-est,,,,,
Naam Tailors,+971 65687440,,,"Bhnd Cinema, Al Marijah Market, P.O. Box: 64668",Sharjah Others,Sharjah,UAE,"Naam Tailors is located in Sharjah, UAE. Company is working in Clothing and Accessories business activities.",,,633,https://uae.arablocal.com/business/view/naam-tailors,,,,,
Guide Building Maintenance,+971 2240666,,,Box No. 7832,Dubai Others,Dubai,UAE,"GUIDE BUILDING MAINTENANCE is located in Dubai, UAE. Company is working in Building Maintenance, Carpentry & Flooring, Decoration Materials & Partitions business activities.",,,631,https://uae.arablocal.com/business/view/guide-building-maintenance,,,,,
Dutchkid Fzco,+971 3618142,,,"Box No. 0, Free Zone",Jebel Ali Freezone,Dubai,UAE,"DUTCHKID FZCO is located in Jebel Ali Free Zone, UAE. Company is working in Trading, Blankets, Towels, Linens Trading, Furniture, Clothing and Accessories, Ladies Clothing, Kids, Baby Clothing, Handbags & Leather Products, Decoration Materials & Partitions business activities.",,,633,https://uae.arablocal.com/business/view/dutchkid-fzco,,,,,
Premier General Maintenance Establishment,+971 6336906,,,P.O Box 26765,Dubai Others,Dubai,UAE,"PREMIER GENERAL MAINTENANCE ESTABLISHMENT is located in Dubai, UAE. Company is working in Clothing and Accessories business activities.",,,630,https://uae.arablocal.com/business/view/premier-general-maintenance-establishment,,,,,
Nafees Tailors,+971 43536196,,,Area :,Bur Dubai,Dubai,UAE,"Nafees Tailors is located in Dubai, UAE. Company is working in Clothing and Accessories business activities.",,,632,https://uae.arablocal.com/business/view/nafees-tailors,,,,,
Mohammed Al Khandry Trading Company Llc,+971 42237367,,,"Kuwaity building, Naif Road, P.O. Box: 22483",Deira,Dubai,UAE,"Mohd Al Khandry Trading Company LLC is located in Dubai, UAE. Company is working in Clothing and Accessories business activities.",,,631,https://uae.arablocal.com/business/view/mohammed-al-khandry-trading-company-llc,,,,,
Califorca Trading Co LLC,+971 42254210,,,Dubai,Al Ras,Dubai,UAE,Califorca Trading Co LLC,,,624,https://uae.arablocal.com/business/view/califorca-trading-co-llc,,,,,
Kids Heaven Ready Made Garments,+971 26333214,,,Area :,Abu Dhabi City,Abu Dhabi,UAE,"Kids Heaven Ready Made Garments is located in Abu Dhabi, UAE. Company is working in Clothing and Accessories business activities. If you have any questions, please contact us",,,627,https://uae.arablocal.com/business/view/kids-heaven-ready-made-garments,,,,,
Motiva Painting Works Llc,+971 3988329,,,Box No. 211816,Dubai Others,Dubai,UAE,"MOTIVA PAINTING WORKS LLC is located in Dubai, UAE. Company is working in Contractors, Decoration Materials & Partitions business activities.",,,625,https://uae.arablocal.com/business/view/motiva-painting-works-llc,,,,,
Belquis Fashion FZ LLC,,,,"Dubai Design, District D3,",Dubai Design District,Dubai,UAE,Belquis Fashion FZ LLC,,,629,https://uae.arablocal.com/business/view/belquis-fashion-fz-llc,,,,,
Al Madhani Carpets Trading,+971 42735247,,,Dubai,Al Murar,Dubai,UAE,Al Madhani Carpets Trading,,,623,https://uae.arablocal.com/business/view/al-madhani-carpets-trading,,,,,
Monivia,+971 65582178,,,Saif Zone,Saif Zone,Sharjah,UAE,"Monivia is located in Sharjah, UAE. Company is working in Clothing and Accessories business activities.",,,621,https://uae.arablocal.com/business/view/monivia,,,,,
Lucio Menswear,+971 42352006,,,Box No. 112126,Dubai Others,Dubai,UAE,"LUCIO MENSWEAR is located in Dubai, UAE. Company is working in Beauty Products, Cosmetics, Clothing and Accessories, Shoes business activities.",,,620,https://uae.arablocal.com/business/view/lucio-menswear,,,,,
Qasr Al Shatea Technical Works,+971 2234473,,,Box No. 4796,Dubai Others,Dubai,UAE,"QASR AL SHATEA TECHNICAL WORKS is located in Dubai, UAE. Company is working in Professional Services, Carpentry & Flooring, Contractors, Plumbing & Sanitary business activities.",,,623,https://uae.arablocal.com/business/view/qasr-al-shatea-technical-works,,,,,
Calvin Klein Jeans Mall Of The Emirates,+971 43410810,,,"Mall of the Emirates, Level 1, Store 571,Sheikh Zayed Road, Al Barshaa First",Dubai Others,Dubai,UAE,"Calvin Klein Jeans - Mall of the Emirates is located in Dubai, UAE. Company is working in Clothing and Accessories, Boutiques business activities. Visit our company website for more information about us : http://www.calvinkleinjeans.com If you have any questions, please contact us",,,620,https://uae.arablocal.com/business/view/calvin-klein-jeans-mall-of-the-emirates,,,,,
United Flour Mill LLC,+971 65260026,,,"Hamriyah Free Zone,",Hamriyah Free Zone,Sharjah,UAE,United Flour Mill LLC,,,620,https://uae.arablocal.com/business/view/united-flour-mill-llc,,,,,
Afzal Lathe Workshop,+971 67430486,,,"Ajman Free Zone,",Ajman Free Zone,Ajman,UAE,Afzal Lathe Workshop,,,618,https://uae.arablocal.com/business/view/afzal-lathe-workshop,,,,,
Ain Al Hayah Trading LLC,+971 37516156,,,Abu Dhabi,Central District,Abu Dhabi,UAE,Ain Al Hayah Trading LLC,,,619,https://uae.arablocal.com/business/view/ain-al-hayah-trading-llc,,,,,
Picadilly Palace,+971 65554966,,,Area :,Sharjah Others,Sharjah,UAE,"Picadilly Palace is located in Sharjah, UAE. Company is working in Clothing and Accessories business activities. If you have any questions, please contact us",,,617,https://uae.arablocal.com/business/view/picadilly-palace,,,,,
Bidco Trading LLC,+971 43335126,,,"Floor # 6, SIT Tower, Office # 611,",Dubai Silicon Oasis,Dubai,UAE,Bidco Trading LLC,,,611,https://uae.arablocal.com/business/view/bidco-trading-llc,,,,,
Taqwa Pardas,+971 42730440,,,Area :,Deira,Dubai,UAE,"Taqwa Pardas is located in Dubai, UAE. Company is working in Clothing and Accessories business activities. If you have any questions, please contact us",,,608,https://uae.arablocal.com/business/view/taqwa-pardas,,,,,
Dream Home Curtains LLC,+971 42979391,,,Dubai,Al Khabaisi,Dubai,UAE,Dream Home Curtains LLC,,,610,https://uae.arablocal.com/business/view/dream-home-curtains-llc,,,,,
Kenana Hi-Tech Chemicals,+971 37219756,,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Kenana Hi-Tech Chemicals,,,606,https://uae.arablocal.com/business/view/kenana-hi-tech-chemicals,,,,,
Ali Dakhili General Trading LLC,+971 42248911,,,Dubai,Al Rigga,Dubai,UAE,Ali Dakhili General Trading LLC,,,606,https://uae.arablocal.com/business/view/ali-dakhili-general-trading-llc,,,,,
Ruby International Fzc,,,,Po Box 20587,Ajman Free Zone,Ajman,UAE,"RUBY INTERNATIONAL FZC is located in Po Box 20587 Ajman Free Zone Ajman, UAE. Company is working in Clothing and Accessories, Shoes, Kids, Kids Shoes business activities.",,,603,https://uae.arablocal.com/business/view/ruby-international-fzc,,,,,
Mai Turkiye - Tamween General Trading,+971 72331144,+971 507891133,,"Floor # 1, Liwa Gate Building, Office #104, Old RAK,",Rak City,Ras Al Khaimah,UAE,Mai Turkiye - Tamween General Trading,,,603,https://uae.arablocal.com/business/view/mai-turkiye-tamween-general-trading,,,,,
Abu Dhabi Printing Services LLC,+971 26769600,,,"Mezzanine Floor, Office # M-03, Mina Road,",Al Zahiyah,Abu Dhabi,UAE,Abu Dhabi Printing Services LLC,,,603,https://uae.arablocal.com/business/view/abu-dhabi-printing-services-llc,,,,,
Craftsman,+971 43338888,,,Box No. 27244,Dubai Others,Dubai,UAE,"CRAFTSMAN is located in Dubai, UAE. Company is working in Wooden Products business activities.",,,602,https://uae.arablocal.com/business/view/craftsman,,,,,
Haji Siddique Foundry LLC,+971 65313300,,,"Al Khan Street, Industrial Area 7,",Industrial Area,Sharjah,UAE,Haji Siddique Foundry LLC,,,601,https://uae.arablocal.com/business/view/haji-siddique-foundry-llc,,,,,
Halema Turning Workshop,+971 67660925,,,Umm Al Quwain,Industrial Area,Sharjah,UAE,Halema Turning Workshop,,,598,https://uae.arablocal.com/business/view/halema-turning-workshop,,,,,
Junction Trading Company Llc,+971 42254284,,,"3, Al Ghurair Building, Al Ras, P.O. Box: 3886",Deira,Dubai,UAE,"JUNCTION TRADING COMPANY L.L.C. is located in Dubai, UAE. Company is working in Clothing and Accessories business activities.",,,596,https://uae.arablocal.com/business/view/junction-trading-company-llc,,,,,
Sabro Technical Services Llc,+971 2679640,,,Box No. 60431,Dubai Others,Dubai,UAE,"SABRO TECHNICAL SERVICES LLC is located in Dubai, UAE. Company is working in Professional Services, Air Conditioning, Carpentry & Flooring, Contractors, Decoration Materials & Partitions, Plumbing & Sanitary business activities.",,,592,https://uae.arablocal.com/business/view/sabro-technical-services-llc,,,,,
Heleya Trading Abu Dhabi Branch,+971 6664955,,,55155,Abu Dhabi City,Abu Dhabi,UAE,"HELEYA TRADING - ABU DHABI BRANCH is located in Abu Dhabi, UAE. Company is working in Clothing and Accessories business activities. If you have any questions, please contact us",,,591,https://uae.arablocal.com/business/view/heleya-trading--abu-dhabi-branch,,,,,
