Name,Phone_1,Phone_2,Phone_3,Email,Location,Area,Governorate,Country,About,Website,Views,Fax,URL,Facebook
Emirates Contracting Co LLC GRC GRP DIV,+971 43478282,,,,"17B, Al Quoz Ind. Third,",Al Quoz,Dubai,UAE,Emirates Contracting Co LLC GRC GRP DIV,,1363,,https://uae.arablocal.com/business/view/emirates-contracting-co-llc-grc-grp-div,
Galaxy Marble Factory LLC,+971 43200596,,,,Dubai,Ras Al Khor Industrial Area 2,Dubai,UAE,Galaxy Marble Factory LLC,,1362,,https://uae.arablocal.com/business/view/galaxy-marble-factory-llc,
AB Building Contracting Co,+971 43312545,,,,Dubai,Al Satwa,Dubai,UAE,AB Building Contracting Co,,1359,,https://uae.arablocal.com/business/view/ab-building-contracting-co,
Salina Ltd Co,+971 67434488,,,,Ajman,Ajman Industrial 1,Ajman,UAE,Salina Ltd Co,,1356,,https://uae.arablocal.com/business/view/salina-ltd-co,
Al Faisaliyah Contracting LLC,+971 42977477,,,,"Floor #27, Moosa Tower 2, Office #2701, Sheikh Zayed Road,",Al Quoz Industrial Area 2,Dubai,UAE,Al Faisaliyah Contracting LLC,,1356,,https://uae.arablocal.com/business/view/al-faisaliyah-contracting-llc,
Abdulla Al Jassim Building Contracting Co,+971 92231655,,,,Fujairah,Fujairah,Fujairah,UAE,Abdulla Al Jassim Building Contracting Co,,1355,,https://uae.arablocal.com/business/view/abdulla-al-jassim-building-contracting-co,
Al Sanabel Al Dahabia Contracting L.L.C,+971 42517028,,,,"1, Talal Group Management Office, 103,",Deira,Dubai,UAE,Al Sanabel Al Dahabia Contracting L.L.C,,1348,,https://uae.arablocal.com/business/view/al-sanabel-al-dahabia-contracting-l-l-c,
AG MELCO Elevator Co LLC Al Danah Abu Dhabi,+971 22035999,,,,"8th Floor, Blue Tower, Khalifa Street,",Al Danah,Abu Dhabi,UAE,AG MELCO Elevator Co LLC Al Danah Abu Dhabi,,1333,,https://uae.arablocal.com/business/view/ag-melco-elevator-co-llc-al-danah-abu-dhabi,
Hyundai Elevator,+971 65730965,,,,Sharjah,Al Majaaz 1,Sharjah,UAE,Hyundai Elevator,,1325,,https://uae.arablocal.com/business/view/hyundai-elevator,
Rad International Road Construction LLC,+971 67488603,,,,"Hamriyah Free Zone,",Al Hamriyah Free Zone,Sharjah,UAE,Rad International Road Construction LLC,,1596,,https://uae.arablocal.com/business/view/rad-international-road-construction-llc,
Abdoli Bldg Materials Showroom,+971 92446111,,,,Fujairah,Dibba Al Fujairah,Fujairah,UAE,Abdoli Bldg Materials Showroom,,1317,,https://uae.arablocal.com/business/view/abdoli-bldg-materials-showroom,
Sultan Ahmed Nasser Lootah Gen Trading LLC,+971 42212277,,,,Dubai,Al Muraqqabat,Dubai,UAE,Sultan Ahmed Nasser Lootah Gen Trading LLC,,1316,,https://uae.arablocal.com/business/view/sultan-ahmed-nasser-lootah-gen-trading-llc,
Abdul Rahim Architectural Consultants Deira Dubai,+971 42235455,+971 552819098,,,"20th Floor, Twin Tower Building, Office # 2003, Baniyas Street,",Deira,Dubai,UAE,Abdul Rahim Architectural Consultants Deira Dubai,,1309,,https://uae.arablocal.com/business/view/abdul-rahim-architectural-consultants-deira-dubai,
Simco Industrial Machinery Trading Co Ltd,+971 42868984,,,,Dubai,Dubai Airport Cargo Village,Dubai,UAE,Simco Industrial Machinery Trading Co Ltd,,1307,,https://uae.arablocal.com/business/view/simco-industrial-machinery-trading-co-ltd,
Brookfield Multiplex Constructions LLC Abu dhabi,+971 24941300,,,,"15th Floor, International Tower (within Capital Centre), Suite # 1504, Al Karamah Street,",Capital center,Abu Dhabi,UAE,Brookfield Multiplex Constructions LLC Abu dhabi,,1306,,https://uae.arablocal.com/business/view/brookfield-multiplex-constructions-llc-abu-dhabi,
Leader Marble Factory,+971 65389964,,,,Sharjah,Industrial Area 12,Sharjah,UAE,Leader Marble Factory,,1305,,https://uae.arablocal.com/business/view/leader-marble-factory,
Al Falah General Contracting Co,+971 26318891,,,,Abu Dhabi,Masdar City,Abu Dhabi,UAE,Al Falah General Contracting Co,,1305,,https://uae.arablocal.com/business/view/al-falah-general-contracting-co,
Al Hadiqa Self Adhesive Manufacturing LLC,+971 65354781,+971 545824184,,,"Industrial Area# 15,",Industrial Area 15,Sharjah,UAE,Al Hadiqa Self Adhesive Manufacturing LLC,,1293,,https://uae.arablocal.com/business/view/al-hadiqa-self-adhesive-manufacturing-llc,
Al Furat Marble and Granite Industry,+971 42855337,,,,Dubai,Umm Ramool,Dubai,UAE,Al Furat Marble and Granite Industry,,1302,,https://uae.arablocal.com/business/view/al-furat-marble-and-granite-industry,
Khansaheb Metals Division,+971 43472239,,,,"Street 11a, Al Quoz Ind. Third,",Al Quoz,Dubai,UAE,Khansaheb Metals Division,,1293,,https://uae.arablocal.com/business/view/khansaheb-metals-division,
Best Adhesive Materials Production,+971 25511991,,,,Abu Dhabi,Mussafah 37,Abu Dhabi,UAE,Best Adhesive Materials Production,,1292,,https://uae.arablocal.com/business/view/best-adhesive-materials-production,
Al Barjeel Marble Trading LLC,+971 67434464,,,,"Street # 14, Industrial Area 15,",Industrial Area,Sharjah,UAE,Al Barjeel Marble Trading LLC,,1293,,https://uae.arablocal.com/business/view/al-barjeel-marble-trading-llc,
Trans Ocean Heavy Equipment FZCO Jebel Ali Dubai,+971 48871193,,,,"Jebel Ali,",Jebel Ali,Dubai,UAE,Trans Ocean Heavy Equipment FZCO Jebel Ali Dubai,,1286,,https://uae.arablocal.com/business/view/trans-ocean-heavy-equipment-fzco-jebel-ali-dubai,
Advance Packaging and Adhesives LLC,+971 67672130,,,,"Ground Floor, Khalid Mohd Ali Abu Haroon Building, Office # 146,",Emirates Modern Industrial Area,Umm Al Quwain,UAE,Advance Packaging and Adhesives LLC,,1285,,https://uae.arablocal.com/business/view/advance-packaging-and-adhesives-llc,
Dewan Al Emara - Architect and Engineers,+971 43956566,,,,Dubai,Dubai Design District,Dubai,UAE,Dewan Al Emara - Architect and Engineers,,1276,,https://uae.arablocal.com/business/view/dewan-al-emara-architect-and-engineers,
Al Sultan Ready Mix and Pre Cast,+971 25515000,,,,"Mussafah,",Musaffah 40,Abu Dhabi,UAE,Al Sultan Ready Mix and Pre Cast,,1274,,https://uae.arablocal.com/business/view/al-sultan-ready-mix-and-pre-cast,
Al Khoor Pumps and Hydraulic Machines TR. LLC,+971 65302678,,,,"Office # 101, Ground Floor Nr Bin Ladin Signal,",Industrial Area 13,Sharjah,UAE,Al Khoor Pumps and Hydraulic Machines TR. LLC,,1274,,https://uae.arablocal.com/business/view/al-khoor-pumps-and-hydraulic-machines-tr-llc,
Al Faris International Heavy Equipment Rental,+971 25825900,,,,"Mafraq, Al Mafraq,",Al Mafraq,Abu Dhabi,UAE,Al Faris International Heavy Equipment Rental,,1273,,https://uae.arablocal.com/business/view/al-faris-international-heavy-equipment-rental,
Hi Tech Concrete Production LLC,+971 25501220,,,,"Plot # 41, M-41,",I CAD 2,Abu Dhabi,UAE,Hi Tech Concrete Production LLC,,1268,,https://uae.arablocal.com/business/view/hi-tech-concrete-production-llc,
Buamim Granite and Marble Factory,+971 43474511,,,,Dubai,Al Quoz Industrial Area 3,Dubai,UAE,Buamim Granite and Marble Factory,,1270,,https://uae.arablocal.com/business/view/buamim-granite-and-marble-factory,
Derea Al Jazeera Building Cont,+971 67311977,,,,"New Industrial Area,",New Industrial Area,Ajman,UAE,Derea Al Jazeera Building Cont,,1267,,https://uae.arablocal.com/business/view/derea-al-jazeera-building-cont,
Al Qanatr Al Thahabia General Contracting Est,+971 37212188,,,,Area :,Al Ain,Abu Dhabi,UAE,"Al Qanatr Al Thahabia General Contracting Est is located in Al Ain, UAE. Company is working in Construction Services business activities.",,1266,,https://uae.arablocal.com/business/view/al-qanatr-al-thahabia-general-contracting-est,
Queen Palace Curtains and Decoration LLC Al Wahdah Abu Dhabi,+971 24432558,+971 504443258,,,"Ground Floor, Al Bader Al Muraihi Building, Airport Road,",Al Wahdah,Abu Dhabi,UAE,Queen Palace Curtains and Decoration LLC Al Wahdah Abu Dhabi,,1259,,https://uae.arablocal.com/business/view/queen-palace-curtains-and-decoration-llc-al-wahdah-abu-dhabi,
Emirates Post Tension LLC Dubai,+971 42392780,,,,"3rd Floor, Ahmed Abdulla Building, Office # 335, Al Qusais Ind. Second,",Al Qusais,Dubai,UAE,Emirates Post Tension LLC Dubai,,1254,,https://uae.arablocal.com/business/view/emirates-post-tension-llc-dubai,
Dubai Oasis Construction Est,+971 37219300,,,,Area :,Al Ain,Abu Dhabi,UAE,"Dubai Oasis Constraction Est is located in Al Ain, UAE. Company is working in Construction Services business activities.",,1251,,https://uae.arablocal.com/business/view/dubai-oasis-construction-est,
EL Seif Engineering Contracting Co LTD Dubai,+971 43328081,,,,"Office # 402, 4th Floor, Al Safa Tower, Sheikh Zayed Road, Al Karama,",Bur Dubai,Dubai,UAE,EL Seif Engineering Contracting Co LTD Dubai,,1247,,https://uae.arablocal.com/business/view/el-seif-engineering-contracting-co-ltd-dubai,
Al Raied Adhesives Material Industry,+971 65424771,,,,Sharjah,Industrial Area 5,Sharjah,UAE,Al Raied Adhesives Material Industry,,1247,,https://uae.arablocal.com/business/view/al-raied-adhesives-material-industry,
Advance Engineering Consultancy,+971 26316607,,,,Abu Dhabi,Al Danah,Abu Dhabi,UAE,Advance Engineering Consultancy,,1229,,https://uae.arablocal.com/business/view/advance-engineering-consultancy,
Arak Engineering Consultancy L L C,+971 26811849,,,,Abu Dhabi,Dubai Others,Dubai,UAE,"Arak Engineering Consultancy - L L C is located in Abu Dhabi, UAE. Company is working in Architectural Services business activities. If you have any questions, please contact us",,1225,,https://uae.arablocal.com/business/view/arak-engineering-consultancy-l-l-c,
Al Fahad Tiles and Mosaic Factory,+971 43470244,,,,"Ground Floor,",Al Quoz Industrial Area 1,Dubai,UAE,Al Fahad Tiles and Mosaic Factory,,1225,,https://uae.arablocal.com/business/view/al-fahad-tiles-and-mosaic-factory,
Abbas Ibrahim Ahmed Contracting Est,+971 67465024,,,,Ajman,Al Nuaimia 1,Ajman,UAE,Abbas Ibrahim Ahmed Contracting Est,,1208,,https://uae.arablocal.com/business/view/abbas-ibrahim-ahmed-contracting-est,
Simplex Infrastructures Limited Abu Dhabi,+971 26280374,+971 566505372,,,"Mezzanine Floor, Building# 35, Asma Majid Al Futtaim Building, Office # M 1, Electra Street,",Al Danah,Abu Dhabi,UAE,Simplex Infrastructures Limited Abu Dhabi,,1213,,https://uae.arablocal.com/business/view/simplex-infrastructures-limited-abu-dhabi,
Pasco Paving Stones Co LLC Grayyeh Abu Dhabi,+971 37838173,,,,"Grayyeh,",Grayyeh,Abu Dhabi,UAE,Pasco Paving Stones Co LLC Grayyeh Abu Dhabi,,1205,,https://uae.arablocal.com/business/view/pasco-paving-stones-co-llc-grayyeh-abu-dhabi,
Arabian German Co Ltd for Kerbstone Interlock and Precast Concrete,+971 65434112,,,,Sharjah,Industrial Area 6,Sharjah,UAE,Arabian German Co Ltd for Kerbstone Interlock and Precast Concrete,,1204,,https://uae.arablocal.com/business/view/arabian-german-co-ltd-for-kerbstone-interlock-and-precast-concrete,
Abdulla Ahmad Al Moosa Arenco,+971 3370550,,,,Box No. 2622,Dubai Others,Dubai,UAE,"ABDULLA AHMAD AL MOOSA (ARENCO) is located in Dubai, UAE. Company is working in Engineering, Architectural Services business activities. If you have any questions, please contact us",,1202,,https://uae.arablocal.com/business/view/abdulla-ahmad-al-moosa-arenco,
Safinat Al Bahar Building Materials LLC Al sabkha Deira,+971 42219335,,,,"Al Sabkha,",Deira,Dubai,UAE,Safinat Al Bahar Building Materials LLC Al sabkha Deira,,1200,,https://uae.arablocal.com/business/view/safinat-al-bahar-building-materials-llc-al-sabkha-deira,
Al Asal Marbles and Building Material Trading Co. LLC,+971 65345581,,,,"Ground Floor, Industrial Area 11,",Industrial Area,Sharjah,UAE,Al Asal Marbles and Building Material Trading Co. LLC,,1202,,https://uae.arablocal.com/business/view/al-asal-marbles-and-building-material-trading-co-llc,
Frame Link Contracting L.L.C,+971 42654419,,,,"Dar Al Maha Building, 6 18 St,",Hor Al Anz East,Dubai,UAE,Frame Link Contracting L.L.C,,1186,,https://uae.arablocal.com/business/view/frame-link-contracting-l-l-c,
Al Ali Construction and Development Co FZ LLC,+971 72277794,,,,"RAK Free Trade Zone,",RAK Free Trade Zone,Ras Al Khaimah,UAE,Al Ali Construction and Development Co FZ LLC,,1186,,https://uae.arablocal.com/business/view/al-ali-construction-and-development-co-fz-llc,
Al Yamamah Heavy Equipment and Spare Parts LLC,+971 43200311,,,,"Ras Al Khor,",Ras Al Khor,Dubai,UAE,Al Yamamah Heavy Equipment and Spare Parts LLC,,1184,,https://uae.arablocal.com/business/view/al-yamamah-heavy-equipment-and-spare-parts-llc,
Al Shafar Contracting Co LLC,+971 43386464,,,,"Floor #2, Al Shafar Investment Building, Office #222, Al Quoz Third,",Al Quoz,Dubai,UAE,Al Shafar Contracting Co LLC,,1181,,https://uae.arablocal.com/business/view/al-shafar-contracting-co-llc,
Al Ahd General Contracting and Maintenance Co LLC AGCM,+971 26723409,,,,"8th Floor, Building # 534, Zayed First Street,",Khalifa City B,Abu Dhabi,UAE,Al Ahd General Contracting and Maintenance Co LLC AGCM,,1181,,https://uae.arablocal.com/business/view/al-ahd-general-contracting-and-maintenance-co-llc-agcm,
Delta Al Emarate Building Contracting LLC,+971 42972806,,,,Dubai,Al Barsha 1,Dubai,UAE,Delta Al Emarate Building Contracting LLC,,1180,,https://uae.arablocal.com/business/view/delta-al-emarate-building-contracting-llc,
Cemex Topmix LLC Al Quoz Industrial Area Dubai,+971 43470477,,,,Dubai,Al Quoz Industrial Area 3,Dubai,UAE,Cemex Topmix LLC Al Quoz Industrial Area Dubai,,1175,,https://uae.arablocal.com/business/view/cemex-topmix-llc-al-quoz-industrial-area-dubai,
Abudhabi Precast,+971 25134444,,,,"ICAD City 1,",Musaffah,Abu Dhabi,UAE,Abudhabi Precast,,1175,,https://uae.arablocal.com/business/view/abudhabi-precast,
Elite Materials FZE,+971 46091798,,,,"Warehouse #6WA - 826,",Dubai Airport Free Zone,Dubai,UAE,Elite Materials FZE,,1174,,https://uae.arablocal.com/business/view/elite-materials-fze,
Gulf United Stones and Marble LLC,+971 25515161,,,,"Gulf United Building Block #38, Mussafah (M-33),",Musaffah,Abu Dhabi,UAE,Gulf United Stones and Marble LLC,,1170,,https://uae.arablocal.com/business/view/gulf-united-stones-and-marble-llc,
Al Saraya Engineering Consultants,+971 43350084,,,,Dubai,Al Karama,Dubai,UAE,Al Saraya Engineering Consultants,,1170,,https://uae.arablocal.com/business/view/al-saraya-engineering-consultants,
Al Maha Marbles Tr,+971 65346407,,,,"Industrial Area# 17,",Industrial Area 17,Sharjah,UAE,Al Maha Marbles Tr,,1164,,https://uae.arablocal.com/business/view/al-maha-marbles-tr,
Al Taween Bulk Trading LLC,+971 72448821,,,,Ras Al Khaimah,Khatt,Ras Al Khaimah,UAE,Al Taween Bulk Trading LLC,,1160,,https://uae.arablocal.com/business/view/al-taween-bulk-trading-llc,
Abou Seif Bldg Cont Co LLC,+971 65722311,,,,Sharjah,Al Majaz 3,Sharjah,UAE,Abou Seif Bldg Cont Co LLC,,1163,,https://uae.arablocal.com/business/view/abou-seif-bldg-cont-co-llc,
Beijing Emirates International Constraction Co Llc,+971 42956166,,,,"Lamborghini Building, Al Ittihad Street,",Deira,Dubai,UAE,Beijing Emirates International Constraction Co Llc,,1168,,https://uae.arablocal.com/business/view/beijing-emirates-international-constraction-co-llc,
Top Werk Hess Middle East FZE Jebel Ali Free Zone Dubai,+971 48862030,,,,"Ground Floor, Warehouse FZS1 BA06,",Jebel Ali Freezone,Dubai,UAE,Top Werk Hess Middle East FZE Jebel Ali Free Zone Dubai,,1154,,https://uae.arablocal.com/business/view/top-werk-hess-middle-east-fze-jebel-ali-free-zone-dubai,
Fosroc Al Gurg Dubai,+971 42858606,,,,Dubai,Umm Ramool,Dubai,UAE,Fosroc Al Gurg Dubai,,1150,,https://uae.arablocal.com/business/view/fosroc-al-gurg-dubai,
ABD International Building Materials Trading LLC,+971 42287973,,,,"Ground Floor, Ahmed Mohammed Hassan Building, Shop # 5, Al Nakheel Street,",Deira,Dubai,UAE,ABD International Building Materials Trading LLC,,1152,,https://uae.arablocal.com/business/view/abd-international-building-materials-trading-llc,
Al Khabeer General Contracting,+971 25224760,,,,Area :,Abu Dhabi City,Abu Dhabi,UAE,"Al Khabeer General Contracting is located in Abu Dhabi, UAE. Company is working in Construction Services business activities.",,1131,,https://uae.arablocal.com/business/view/al-khabeer-general-contracting,
Al Sabbah Trading and Importing Est,+971 43313344,,,,Dubai,Trade Center 1,Dubai,UAE,Al Sabbah Trading and Importing Est,,1136,,https://uae.arablocal.com/business/view/al-sabbah-trading-and-importing-est,
Al Sultan Precast Concrete,+971 25515000,,,,"M 40, Mussafah, P.O. Box: 9099",Mussafah 40,Abu Dhabi,UAE,"Al Sultan Precast Concrete is located in Abu Dhabi, UAE. Company is working in Building Materials, Construction Services business activities.",,1130,,https://uae.arablocal.com/business/view/al-sultan-precast-concrete,
Khaloory Block Factory LLC,+971 42672340,,,,Dubai,Al Qusais Industrial Area 2,Dubai,UAE,Khaloory Block Factory LLC,,1128,,https://uae.arablocal.com/business/view/khaloory-block-factory-llc,
Al Zarouni Builders,+971 42717000,,,,"Floor #4, AL Baraha Building, Office #401, Umar Bin Khattab, Al Baraha,",Deira,Dubai,UAE,Al Zarouni Builders,,1130,,https://uae.arablocal.com/business/view/al-zarouni-builders,
Crescent Tiles Factory LLC,+971 25545001,,,,"Plot # 21, Ground Floor, Al Mansoor Complex, Mussafah (M-21),",Musaffah,Abu Dhabi,UAE,Crescent Tiles Factory LLC,,1130,,https://uae.arablocal.com/business/view/crescent-tiles-factory-llc,
Al Ajmi Engineering Consultants,+971 42349494,,,,"4th Floor, Rigga Business Centre, Office # 4004, Al Rigga Road, Al Muraqqabat,",Deira,Dubai,UAE,Al Ajmi Engineering Consultants,,1119,,https://uae.arablocal.com/business/view/al-ajmi-engineering-consultants,
Noon Building Contracting LLC,+971 65349301,,,,Sharjah,Muwailih commercial,Sharjah,UAE,Noon Building Contracting LLC,,1125,,https://uae.arablocal.com/business/view/noon-building-contracting-llc,
Dutch International Contracting Co. LLC,+971 26667005,,,,"3rd Floor, GIBCA Building, Khalifa Street,",Abu Dhabi City,Abu Dhabi,UAE,Dutch International Contracting Co. LLC,,1125,,https://uae.arablocal.com/business/view/dutch-international-contracting-co-llc,
Power Hydraulics Heavy Machine Repairing LLC Dubai Maritime City Dubai,+971 42766511,,,,"Dubai Maritime City,",Dubai Maritime City,Dubai,UAE,Power Hydraulics Heavy Machine Repairing LLC Dubai Maritime City Dubai,,1127,,https://uae.arablocal.com/business/view/power-hydraulics-heavy-machine-repairing-llc-dubai-maritime-city-dubai,
Toque Dor,+971 65355315,,,,Sharjah,Industrial Area 17,Sharjah,UAE,,,1118,,https://uae.arablocal.com/business/view/toque-dor,
B N S Contracting L.L.C,+971 45587025,,,,"2nd, Capital Golden Tower, 207,",Business Bay,Dubai,UAE,B N S Contracting L.L.C,,1124,,https://uae.arablocal.com/business/view/b-n-s-contracting-l-l-c,
Beaver Gulf Contracting L.L.C,+971 43521225,,,,"Al Raffa,",Bur Dubai,Dubai,UAE,Beaver Gulf Contracting L.L.C,,1118,,https://uae.arablocal.com/business/view/beaver-gulf-contracting-l-l-c,
Al Fannan Consulting Engineers,+971 26444428,,,,Area :,Abu Dhabi City,Abu Dhabi,UAE,"Al Fannan Consulting Engineers is located in Abu Dhabi, UAE. Company is working in Architectural Services business activities.",,1114,,https://uae.arablocal.com/business/view/al-fannan-consulting-engineers,
"Al Mahad construction Equipment,Machinery and Spare Parts Manufacturing",+971 65352261,,,,"Industrial Area,",Industrial Area,Sharjah,UAE,"Al Mahad construction Equipment,Machinery and Spare Parts Manufacturing",,1109,,https://uae.arablocal.com/business/view/al-mahad-construction-equipment-machinery-and-spare-parts-manufacturing,
Al Ghafly Group Of Cos,+971 25511191,,,,"Near Emirates Driving School, M 35, Mussafah, P.O. Box: 3514",Musaffah,Abu Dhabi,UAE,"Al Ghafly Group of Cos is located in Abu Dhabi, UAE. Company is working in Construction Services, Surveyors business activities.",,1105,,https://uae.arablocal.com/business/view/al-ghafly-group-of-cos,
Abu Dhabi International Cont Co ADICC,+971 24466522,,,,"Mezzanine Floor, Office # M4, Muroor Road,",Al Hisn,Abu Dhabi,UAE,Abu Dhabi International Cont Co ADICC,,1106,,https://uae.arablocal.com/business/view/abu-dhabi-international-cont-co-adicc,
Kirby Building Systems Abu Dhabi,+971 26260024,,,,Abu Dhabi,Al Danah,Abu Dhabi,UAE,Kirby Building Systems Abu Dhabi,,1107,,https://uae.arablocal.com/business/view/kirby-building-systems-abu-dhabi,
Hilal Bil Badi and Partners Contracting Co WLL HILALCO,+971 24457700,,,,Abu Dhabi,Hadbat Al Zafaranah,Abu Dhabi,UAE,Hilal Bil Badi and Partners Contracting Co WLL HILALCO,,1106,,https://uae.arablocal.com/business/view/hilal-bil-badi-and-partners-contracting-co-wll-hilalco,
Boodai Trading Company LLC Al Khabaisi Dubai,+971 42690080,,,,"Salahuddin,Deira,",Al Khabaisi,Dubai,UAE,Boodai Trading Company LLC Al Khabaisi Dubai,,1103,,https://uae.arablocal.com/business/view/boodai-trading-company-llc-al-khabaisi-dubai,
AG MELCO Elevator Co LLC Al Ain Abu Dhabi,+971 37643086,,,,Al Ain,Al Ain,Abu Dhabi,UAE,AG MELCO Elevator Co LLC Al Ain Abu Dhabi,,1096,,https://uae.arablocal.com/business/view/ag-melco-elevator-co-llc-al-ain-abu-dhabi,
Bonvest Material Trading LLC,+971 26426575,+971 564801282,,,"4th Floor, Kish Travel Building, Office # 402, Madinat Zayed,",Madinat Zayed,Abu Dhabi,UAE,Bonvest Material Trading LLC,,1095,,https://uae.arablocal.com/business/view/bonvest-material-trading-llc,
Al Jaber Contracting Co,+971 5376036,,,,P.O Box 5337,Dubai Others,Dubai,UAE,"Al Jaber Contracting Co. is located in Dubai, UAE. Company is working in Building Maintenance business activities.",,1094,,https://uae.arablocal.com/business/view/al-jaber-contracting-co,
ASAS Contracting LLC,+971 42558088,,,,"Floor #1, Al Tawar Center, Office #10, Al Qusais Second,",Al Qusais,Dubai,UAE,ASAS Contracting LLC,,1093,,https://uae.arablocal.com/business/view/asas-contracting-llc,
Al Khair Engineering,+971 65622621,,,,"Al Saja-a,",Al Sajaa,Sharjah,UAE,Al Khair Engineering,,1091,,https://uae.arablocal.com/business/view/al-khair-engineering,
Abdulla Al Dhaheri Trading Est,+971 37220971,,,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Abdulla Al Dhaheri Trading Est,,1083,,https://uae.arablocal.com/business/view/abdulla-al-dhaheri-trading-est,
Absam Precast Factory,+971 65310531,,,,"Plot No 3898/7 Sajaa,",Saja'a Industrial Suburb,Sharjah,UAE,Absam Precast Factory,,1080,,https://uae.arablocal.com/business/view/absam-precast-factory,
Amin Surveyors and Consultants,+971 43241676,,,,Dubai,Al Jaddaf,Dubai,UAE,Amin Surveyors and Consultants,,1077,,https://uae.arablocal.com/business/view/amin-surveyors-and-consultants,
Abu Dhabi Asphalt and Lubricants Co Ltd ADALCO,+971 25553562,,,,Abu Dhabi,Mussafah industrial MN 2,Abu Dhabi,UAE,Abu Dhabi Asphalt and Lubricants Co Ltd ADALCO,,1069,,https://uae.arablocal.com/business/view/abu-dhabi-asphalt-and-lubricants-co-ltd-adalco,
Amazon Heavy Equipment Spare Parts Trading,,,,,"Al Khan Street S108 . Industrial Area 3, Behind Caterpillar Company",Abu Dhabi City,Abu Dhabi,UAE,"Amazon Heavy Equipment Spare Parts Trading is a newly established filter supplier company in Sharjah, United Arab Emirates, aimed toward the premium as well as the economic and budget markets respectively. We are the suppliers for an extensive range of heavy duty genuine products serving: Air Filters Fuel Filters Oil Filters Transmission Filters Hydraulic Filters Coolant Filters Filter Housing Filter Assemblies Bypass Filters Air-Oil Separators Element Filters Fuel-Water Separators Oil-Mist R...",,1065,,https://uae.arablocal.com/business/view/amazon-heavy-equipment-spare-parts-trading,
Arab Office for Planning and Architecture,+971 26426878,,,,Abu Dhabi,Al Dhafarh,Abu Dhabi,UAE,Arab Office for Planning and Architecture,,1064,,https://uae.arablocal.com/business/view/arab-office-for-planning-and-architecture,
Abdul Mannan Building Contracting LLC,+971 42729184,,,,"Frij Al Murar,",Deira,Dubai,UAE,Abdul Mannan Building Contracting LLC,,1065,,https://uae.arablocal.com/business/view/abdul-mannan-building-contracting-llc,
Emerald General Trading LLC,+971 67434394,,,,"Ground Floor,",Al Jurf Industrial Area 1,Ajman,UAE,Emerald General Trading LLC,,1063,,https://uae.arablocal.com/business/view/emerald-general-trading-llc,
Al Hazami Building Contracting,+971 42675270,,,,"Ground Floor, Al Madeena Spare Parts Building, Damascus Street, Al Qusais First,",Al Qusais,Dubai,UAE,Al Hazami Building Contracting,,1061,,https://uae.arablocal.com/business/view/al-hazami-building-contracting,
Pivot Engineering and General Contracting Co WLL Al danah Abu Dhabi,+971 26773212,,,,"16, Lulu Centre, Salam Salam,",Al Danah,Abu Dhabi,UAE,Pivot Engineering and General Contracting Co WLL Al danah Abu Dhabi,,1058,,https://uae.arablocal.com/business/view/pivot-engineering-and-general-contracting-co-wll-al-danah-abu-dhabi,
Al Tawakkal Cont and Trading Co LLC,+971 65432548,,,,Sharjah,Industrial Area 2,Sharjah,UAE,Al Tawakkal Cont and Trading Co LLC,,1058,,https://uae.arablocal.com/business/view/al-tawakkal-cont-and-trading-co-llc,
Al Ali Contracting and Development Co LLC,+971 72277794,,,,"RAK Free Trade Zone,",RAK Free Trade Zone,Ras Al Khaimah,UAE,Al Ali Contracting and Development Co LLC,,1058,,https://uae.arablocal.com/business/view/al-ali-contracting-and-development-co-llc,
Amana Steel Buildings Cont Co LLC Abu Dhabi,+971 37810862,,,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Amana Steel Buildings Cont Co LLC Abu Dhabi,,1056,,https://uae.arablocal.com/business/view/amana-steel-buildings-cont-co-llc-abu-dhabi,
Haroon Company Abu Dhabi,+971 26218566,,,,"Ground Floor, Dana Masaudi Tower, Shop # 1, Al Nazda Road,",Al Danah,Abu Dhabi,UAE,Haroon Company Abu Dhabi,,1054,,https://uae.arablocal.com/business/view/haroon-company-abu-dhabi,
Blue Sky Contracting Co LLC,+971 42664446,,,,Dubai,Hor Al Anz East,Dubai,UAE,Blue Sky Contracting Co LLC,,1051,,https://uae.arablocal.com/business/view/blue-sky-contracting-co-llc,
Abdulla and Associate Consulting Architects and Engineers,+971 43985041,+971 506248270,,,"2nd Floor, Pearl Apartment, Office #201, Dhiyafa Street, Al Satwa,",Al Zaabeel,Dubai,UAE,Abdulla and Associate Consulting Architects and Engineers,,1049,,https://uae.arablocal.com/business/view/abdulla-and-associate-consulting-architects-and-engineers,
Sama Malabar Feeds Tr,+971 65431951,,,,"Industrial Area 3,",Industrial Area,Sharjah,UAE,Sama Malabar Feeds Tr,,1047,,https://uae.arablocal.com/business/view/sama-malabar-feeds-tr,
Al Yamahi Bldg Contg,+971 92241855,,,,Fujairah,Kalba,Sharjah,UAE,Al Yamahi Bldg Contg,,1046,,https://uae.arablocal.com/business/view/al-yamahi-bldg-contg,
Al Afaq International Development and Investment,+971 65750406,,,,Sharjah,Al Majaaz 1,Sharjah,UAE,Al Afaq International Development and Investment,,1041,,https://uae.arablocal.com/business/view/al-afaq-international-development-and-investment,
