Name,Phone_1,Phone_2,Email,Location,Area,Governorate,Country,About,Website,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
Sama Park F. Residental Apartments,+966 536666472,+966 114366685,,"Al Seteen Street, Al Badeia'ah Dist., Riyadh, Al Badeia'ah Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Seteen Street,Riyadh Province,Saudi Arabia,Sama Park F. Residental Apartments,,https://arablocal.com/business/view/sama-park-f-residental-apartments,,,,,
Darco Hotel Suites,+966 114642334,,,"Khurais Road, Riyadh, Khurais Road, Riyadh, Riyadh Province, Saudi Arabia",Khurais Road,Riyadh Province,Saudi Arabia,Darco Hotel Suites,,https://arablocal.com/business/view/darco-hotel-suites,,,,,
Al-Hussain Country Houses,+966 114154362,,,"Al Thumamah Road, Riyadh, Al Thumamah Road, Riyadh, Riyadh Province, Saudi Arabia",Al Thumamah Road,Riyadh Province,Saudi Arabia,Al-Hussain Country Houses,,https://arablocal.com/business/view/al-hussain-country-houses,,,,,
Beit Al Khair Construction Est.,+966 122874071,,,"Prince Metab Bin Abdul Aziz St., Jeddah, Prince Metab Bin Abdul Aziz St., Jeddah, Makkah Province, Saudi Arabia",Prince Metab Bin Abdul Aziz St.,Makkah Province,Saudi Arabia,Beit Al Khair Construction Est.,,https://arablocal.com/business/view/beit-al-khair-construction-est,,,,,
Altheabit Gulf,+966 543231949,+966 126061154,,"Aziziyah Dist., Jeddah, Aziziyah Dist., Jeddah, Makkah Province, Saudi Arabia",Aziziyah Dist.,Makkah Province,Saudi Arabia,Altheabit Gulf,,https://arablocal.com/business/view/altheabit-gulf,,,,,
Green Palace For Parties And Celebrations Baysh Jazan,+966 173420184,,,"Baysh, Jazan, Baysh, Jazan, Jizan Province, Saudi Arabia",Baysh,Jizan Province,Saudi Arabia,Green Palace For Parties And Celebrations Baysh Jazan,,https://arablocal.com/business/view/green-palace-for-parties-and-celebrations-baysh-jazan,,,,,
Al Higgi Hotel,+966 143228842,,,"Yanbu Al Bahar, Yanbu, Yanbu Al Bahar, Yanbu, Madinah Province, Saudi Arabia",Yanbu Al Bahar,Madinah Province,Saudi Arabia,Al Higgi Hotel,,https://arablocal.com/business/view/al-higgi-hotel,,,,,
Manazel Al Amanah Apartment,+966 531069102,+966 125338048,,"Al Furkhan Street, Kudi Dist., Makkah Al Mukarrmah, Kudi Dist., Mecca, Makkah Province, Saudi Arabia",Al Furkhan Street,Makkah Province,Saudi Arabia,Manazel Al Amanah Apartment,,https://arablocal.com/business/view/manazel-al-amanah-apartment,,,,,
Al Baydaa Hotel Group - Al Plaza Branch,+966 148406333,,,"Madinah, Al Madinah Al Munawarah, Madinah, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Madinah,Madinah Province,Saudi Arabia,Al Baydaa Hotel Group - Al Plaza Branch,,https://arablocal.com/business/view/al-baydaa-hotel-group-al-plaza-branch,,,,,
Malfa Flats And Hotel Suites Ulaya Al Khobar,+966 138894300,,,"King Abdullah Rd. (Dhahran), Ulaya Dist., Al Khobar, Ulaya Dist., Al Khobar, Eastern Province, Saudi Arabia",King Abdullah Rd. (Dhahran),Eastern Province,Saudi Arabia,Malfa Flats And Hotel Suites Ulaya Al Khobar,,https://arablocal.com/business/view/malfa-flats-and-hotel-suites-ulaya-al-khobar,,,,,
Oriental Lote Furnished Suites,+966 126329195,,,"Abdullah Al Suliman - Old Airport, Al Faiha'a Dist., Jeddah, Al Faiha'a Dist., Jeddah, Makkah Province, Saudi Arabia",Abdullah Al Suliman - Old Airport,Makkah Province,Saudi Arabia,Oriental Lote Furnished Suites,,https://arablocal.com/business/view/oriental-lote-furnished-suites,,,,,
Al Baydaa Hotel Group - Al Hijra Branch,+966 148315222,,,"Hijrah Dist., Al Madinah Al Munawarah, Hijrah Dist., Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Hijrah Dist.,Madinah Province,Saudi Arabia,Al Baydaa Hotel Group - Al Hijra Branch,,https://arablocal.com/business/view/al-baydaa-hotel-group-al-hijra-branch,,,,,
Mocador Hotel,+966 112499477,,,"Prince Mohammed bin Faisal bin Turki Street, Al Quds Dist., Riyadh, Al Quds Dist., Riyadh, Riyadh Province, Saudi Arabia",Prince Mohammed bin Faisal bin Turki Street,Riyadh Province,Saudi Arabia,Mocador Hotel,,https://arablocal.com/business/view/mocador-hotel,,,,,
Hadaeq Al Khaleej Furnished Apartments,+966 138099770,,,"Corniche, Dammam, Corniche, Dammam, Eastern Province, Saudi Arabia",Corniche,Eastern Province,Saudi Arabia,Hadaeq Al Khaleej Furnished Apartments,,https://arablocal.com/business/view/hadaeq-al-khaleej-furnished-apartments,,,,,
Rana Hotel Suites,+966 112917575,,,"Farazdaq Street, Malaz Dist., Riyadh, Malaz Dist., Riyadh, Riyadh Province, Saudi Arabia",Farazdaq Street,Riyadh Province,Saudi Arabia,Rana Hotel Suites,,https://arablocal.com/business/view/rana-hotel-suites,,,,,
Wardat Al Murooj Furnished Apartments,+966 138937176,,,"Khobar, Al Khobar, Khobar, Al Khobar, Eastern Province, Saudi Arabia",Khobar,Eastern Province,Saudi Arabia,Wardat Al Murooj Furnished Apartments,,https://arablocal.com/business/view/wardat-al-murooj-furnished-apartments,,,,,
Radwa Holiday Inn Hotel Yanbu Al Bahar Yanbu,+966 143224706,,,"Yanbu Al Bahar, Yanbu, Yanbu Al Bahar, Yanbu, Madinah Province, Saudi Arabia",Yanbu Al Bahar,Madinah Province,Saudi Arabia,Radwa Holiday Inn Hotel Yanbu Al Bahar Yanbu,,https://arablocal.com/business/view/radwa-holiday-inn-hotel-yanbu-al-bahar-yanbu,,,,,
Sea View Resorts,+966 563692413,+966 138657515,,"Aziziyah Dist., Al Khobar, Aziziyah Dist., Al Khobar, Eastern Province, Saudi Arabia",Aziziyah Dist.,Eastern Province,Saudi Arabia,Sea View Resorts,,https://arablocal.com/business/view/sea-view-resorts,,,,,
Shorau Al Khair For Hotel Furnished Suites,+966 138411757,,,"Al Badiya Dist., Dammam, Al Badiya Dist., Dammam, Eastern Province, Saudi Arabia",Al Badiya Dist.,Eastern Province,Saudi Arabia,Shorau Al Khair For Hotel Furnished Suites,,https://arablocal.com/business/view/shorau-al-khair-for-hotel-furnished-suites,,,,,
Gharafi Lights Houses Co. Ltd. Mansoura Riyadh,+966 590620932,,,"Mansoura Dist, Riyadh, Mansoura Dist, Riyadh, Riyadh Province, Saudi Arabia",Mansoura Dist,Riyadh Province,Saudi Arabia,Gharafi Lights Houses Co. Ltd. Mansoura Riyadh,,https://arablocal.com/business/view/gharafi-lights-houses-co-ltd-mansoura-riyadh,,,,,
Dyafah Al Saati Al Khobar,+966 138931888,,,"Prince Hamoud Street, the intersection of Fourth Street, Al Aqrabiyah Dist, Al Khobar, Al Aqrabiyah Dist, Al Khobar, Eastern Province, Saudi Arabia",Prince Hamoud Street,Eastern Province,Saudi Arabia,Dyafah Al Saati Al Khobar,,https://arablocal.com/business/view/dyafah-al-saati-al-khobar,,,,,
Venice For Hotel Suites,+966 172206644,,,"Khamis Mushait, Asir, Khamis Mushait, Asir, Asir Province, Saudi Arabia",Khamis Mushait,Asir Province,Saudi Arabia,Venice For Hotel Suites,,https://arablocal.com/business/view/venice-for-hotel-suites,,,,,
Doom Hotel,+966 114535234,,,"Al Murslat Dist., Riyadh, Al Murslat Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Murslat Dist.,Riyadh Province,Saudi Arabia,,,https://arablocal.com/business/view/doom-hotel,,,,,
Damad Municipality Central,+966 173130460,,,"DAMAD, Jazan, DAMAD, Jazan, Jizan Province, Saudi Arabia",DAMAD,Jizan Province,Saudi Arabia,Damad Municipality Central,,https://arablocal.com/business/view/damad-municipality-central,,,,,
Byotat Suites,+966 138644644,,,"Zaid ibn al-Khattab Street, Ulaya Dist., Al Khobar, Ulaya Dist., Al Khobar, Eastern Province, Saudi Arabia",Zaid ibn al-Khattab Street,Eastern Province,Saudi Arabia,Byotat Suites,,https://arablocal.com/business/view/byotat-suites,,,,,
Sand Rose Suite Hotel,+966 138962235,,,"Prince Talal St. Cross 19 / 20, Khobar North, Al Khobar, Khobar North, Al Khobar, Eastern Province, Saudi Arabia",Prince Talal St. Cross 19 / 20,Eastern Province,Saudi Arabia,Sand Rose Suite Hotel,,https://arablocal.com/business/view/sand-rose-suite-hotel,,,,,
Saif Bin Ayeid Al Beeshi And Bros.,+966 138428733,,,"Ittisalat Dist., Dammam, Ittisalat Dist., Dammam, Eastern Province, Saudi Arabia",Ittisalat Dist.,Eastern Province,Saudi Arabia,Saif Bin Ayeid Al Beeshi And Bros.,,https://arablocal.com/business/view/saif-bin-ayeid-al-beeshi-and-bros,,,,,
Arak Hotel Hotel Suites,+966 122640079,,,"Al Marwah Dist., Jeddah, Al Marwah Dist., Jeddah, Makkah Province, Saudi Arabia",Al Marwah Dist.,Makkah Province,Saudi Arabia,Arak Hotel Hotel Suites,,https://arablocal.com/business/view/arak-hotel-hotel-suites,,,,,
Royal Al Khalij Hotel,+966 500020007,,,"Prince Nayef Ibn Abd Elaziz Rd, Aziziyah Dist., Dammam, Aziziyah Dist., Dammam, Eastern Province, Saudi Arabia",Prince Nayef Ibn Abd Elaziz Rd,Eastern Province,Saudi Arabia,Royal Al Khalij Hotel,,https://arablocal.com/business/view/royal-al-khalij-hotel,,,,,
Al Zahabiyah For Hotel Suites,+966 138437334,,,"King Fahd Street, Al Rowadh Dist., Dammam, Al Rowadh Dist., Dammam, Eastern Province, Saudi Arabia",King Fahd Street,Eastern Province,Saudi Arabia,Al Zahabiyah For Hotel Suites,,https://arablocal.com/business/view/al-zahabiyah-for-hotel-suites,,,,,
Al Saha Hotel Al Madinah Al Munawarah,+966 148182300,,,"North Central Area Abu Ubayd ibn Jarrah St., Madinah Center Area, Al Madinah Al Munawarah, Madinah Center Area, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",North Central Area Abu Ubayd ibn Jarrah St.,Madinah Province,Saudi Arabia,Al Saha Hotel Al Madinah Al Munawarah,,https://arablocal.com/business/view/al-saha-hotel-al-madinah-al-munawarah,,,,,
Al Buhayra Hotel,+966 172246459,,,"Abha City, Abha, Abha City, Abha, Asir Province, Saudi Arabia",Abha City,Asir Province,Saudi Arabia,Al Buhayra Hotel,,https://arablocal.com/business/view/al-buhayra-hotel,,,,,
Al Bayt Baytak Suites,+966 138933075,,,"Street No.3, Al Aqrabiyah Dist, Al Khobar, Al Aqrabiyah Dist, Al Khobar, Eastern Province, Saudi Arabia",Street No.3,Eastern Province,Saudi Arabia,Al Bayt Baytak Suites,,https://arablocal.com/business/view/al-bayt-baytak-suites,,,,,
Elite Tower Hotel Apartments,+966 133611020,,,"Jubail, Jubail, Jubail, Eastern Province, Saudi Arabia",Jubail,Eastern Province,Saudi Arabia,Elite Tower Hotel Apartments,,https://arablocal.com/business/view/elite-tower-hotel-apartments,,,,,
Sakan Al Salamt For Furnished Apartments,+966 133622506,,,"Abu Bakr Al Siddiq Road, Jubail, Jubail, Jubail, Eastern Province, Saudi Arabia",Abu Bakr Al Siddiq Road,Eastern Province,Saudi Arabia,Sakan Al Salamt For Furnished Apartments,,https://arablocal.com/business/view/sakan-al-salamt-for-furnished-apartments,,,,,
Moden Apart Hotel,+966 143910723,,,"Ali Bin Abi Talib Rd, Yenbu, Yanbu, Yenbu, Yanbu, Madinah Province, Saudi Arabia",Ali Bin Abi Talib Rd,Madinah Province,Saudi Arabia,Moden Apart Hotel,,https://arablocal.com/business/view/moden-apart-hotel,,,,,
Modern Factory Prefab Houses,+966 126380708,,,"Industrial Area, Jeddah, Industrial Area, Jeddah, Makkah Province, Saudi Arabia",Industrial Area,Makkah Province,Saudi Arabia,Modern Factory Prefab Houses,,https://arablocal.com/business/view/modern-factory-prefab-houses,,,,,
Layali Suite,+966 126829900,,,"Al Salam Dist., Jeddah, Al Salam Dist., Jeddah, Makkah Province, Saudi Arabia",Al Salam Dist.,Makkah Province,Saudi Arabia,Layali Suite,,https://arablocal.com/business/view/layali-suite,,,,,
Hamouda Hotels Acc. Group Matar Al Madinah Al Munawarah,+966 148350333,,,"Airport Street, Matar, Al Madinah Al Munawarah, Matar, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Airport Street,Madinah Province,Saudi Arabia,Hamouda Hotels Acc. Group Matar Al Madinah Al Munawarah,,https://arablocal.com/business/view/hamouda-hotels-acc-group-matar-al-madinah-al-munawarah,,,,,
Dyafah Al Saati Al Madinah Al Munawarah,+966 148370550,,,"Balad, Al Madinah Al Munawarah, Balad, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Balad,Madinah Province,Saudi Arabia,Dyafah Al Saati Al Madinah Al Munawarah,,https://arablocal.com/business/view/dyafah-al-saati-al-madinah-al-munawarah,,,,,
Jana Hotel Apartments,,,,"Al Aqrabiyah Dist, Al Khobar, Al Aqrabiyah Dist, Al Khobar, Eastern Province, Saudi Arabia",Al Aqrabiyah Dist,Eastern Province,Saudi Arabia,Jana Hotel Apartments,,https://arablocal.com/business/view/jana-hotel-apartments,,,,,
Sama Al Qasr Residential Apartments,+966 112814540,,,"Al Ma'azer Dist., Riyadh, Al Ma'azer Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Ma'azer Dist.,Riyadh Province,Saudi Arabia,Sama Al Qasr Residential Apartments,,https://arablocal.com/business/view/sama-al-qasr-residential-apartments,,,,,
United Supplier For Americon Caravans,+966 115453884,,,"Al Raiyd Dist., Riyadh, Al Raiyd Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Raiyd Dist.,Riyadh Province,Saudi Arabia,United Supplier For Americon Caravans,,https://arablocal.com/business/view/united-supplier-for-americon-caravans,,,,,
Rehab Tabouk for Hotel Suites,+966 144294255,,,"Al Mahrjan Dist., Tabuk, Al Mahrjan Dist., Tabuk, Tabuk Province, Saudi Arabia",Al Mahrjan Dist.,Tabuk Province,Saudi Arabia,Rehab Tabouk for Hotel Suites,,https://arablocal.com/business/view/rehab-tabouk-for-hotel-suites,,,,,
Peninsula Suites Hotel Yanbu,+966 138097888,,,"Zhour Dist., Yanbu, Zhour Dist., Yanbu, Madinah Province, Saudi Arabia",Zhour Dist.,Madinah Province,Saudi Arabia,Peninsula Suites Hotel Yanbu,,https://arablocal.com/business/view/peninsula-suites-hotel-yanbu,,,,,
Hassan Palace No. 1,+966 148342928,,,"Madinah, Al Madinah Al Munawarah, Madinah, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Madinah,Madinah Province,Saudi Arabia,Hassan Palace No. 1,,https://arablocal.com/business/view/hassan-palace-no-1,,,,,
Dusit Hotel Suites,+966 502261111,,,"Nozhah DIST, Riyadh, Nozhah DIST, Riyadh, Riyadh Province, Saudi Arabia",Nozhah DIST,Riyadh Province,Saudi Arabia,Dusit Hotel Suites,,https://arablocal.com/business/view/dusit-hotel-suites,,,,,
Golden House Hotel Suites,+966 138311223,,,"Al Kaleej Street, Al Shatei Dist., Dammam, Al Shatei Dist., Dammam, Eastern Province, Saudi Arabia",Al Kaleej Street,Eastern Province,Saudi Arabia,Golden House Hotel Suites,,https://arablocal.com/business/view/golden-house-hotel-suites,,,,,
Al Deni Hotel Suites,+966 126594797,,,"Nozhah DIST, Jeddah, Nozhah DIST, Jeddah, Makkah Province, Saudi Arabia",Nozhah DIST,Makkah Province,Saudi Arabia,Al Deni Hotel Suites,,https://arablocal.com/business/view/al-deni-hotel-suites,,,,,
Al Baiyt Baitak For Hotel Suites,+966 138991667,,,"Khobar, Al Khobar, Khobar, Al Khobar, Eastern Province, Saudi Arabia",Khobar,Eastern Province,Saudi Arabia,Al Baiyt Baitak For Hotel Suites,,https://arablocal.com/business/view/al-baiyt-baitak-for-hotel-suites,,,,,
Latheqiya Palace Hotel Suites,+966 172209393,,,"King Khalid Road, Al Bald Dist., Khamis Mushait, Al Bald Dist., Khamis Mushait, Asir Province, Saudi Arabia",King Khalid Road,Asir Province,Saudi Arabia,Latheqiya Palace Hotel Suites,,https://arablocal.com/business/view/latheqiya-palace-hotel-suites,,,,,
Moonlight Hotel,+966 133638552,,,"Jubail, Jubail, Jubail, Eastern Province, Saudi Arabia",Jubail,Eastern Province,Saudi Arabia,Moonlight Hotel,,https://arablocal.com/business/view/moonlight-hotel,,,,,
Al Qasswaa For Hotel Suites,+966 148284400,,,"Second Ring, Al Madinah Al Munawarah, Second Ring, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Second Ring,Madinah Province,Saudi Arabia,Al Qasswaa For Hotel Suites,,https://arablocal.com/business/view/al-qasswaa-for-hotel-suites,,,,,
Rotana Hotel And Apartments,+966 126636363,,,"Al Hamrah Dist, Jeddah, Al Hamrah Dist, Jeddah, Makkah Province, Saudi Arabia",Al Hamrah Dist,Makkah Province,Saudi Arabia,Rotana Hotel And Apartments,,https://arablocal.com/business/view/rotana-hotel-and-apartments,,,,,
Rawaat Al Sharq For Hotel Suites,+966 138098631,,,"Mubarakiyah Dist., Dammam, Mubarakiyah Dist., Dammam, Eastern Province, Saudi Arabia",Mubarakiyah Dist.,Eastern Province,Saudi Arabia,Rawaat Al Sharq For Hotel Suites,,https://arablocal.com/business/view/rawaat-al-sharq-for-hotel-suites,,,,,
Belle Vue Inn,+966 138344660,,,"King Khalid Street, Al Nakhheel Dist., Dammam, Al Nakhheel Dist., Dammam, Eastern Province, Saudi Arabia",King Khalid Street,Eastern Province,Saudi Arabia,Belle Vue Inn,,https://arablocal.com/business/view/belle-vue-inn,,,,,
Anhal Hotel Suites,+966 138098444,,,"Street No. 18, Al Zhoor Dist., Dammam, Al Zhoor Dist., Dammam, Eastern Province, Saudi Arabia",Street No. 18,Eastern Province,Saudi Arabia,Anhal Hotel Suites,,https://arablocal.com/business/view/anhal-hotel-suites,,,,,
Dar Mthab Trading Est.,+966 112067287,,,"Malaz Dist., Riyadh, Malaz Dist., Riyadh, Riyadh Province, Saudi Arabia",Malaz Dist.,Riyadh Province,Saudi Arabia,Dar Mthab Trading Est.,,https://arablocal.com/business/view/dar-mthab-trading-est,,,,,
Dreams Inn Hotel Suites,+966 138819168,,,"Ulaya Dist., Al Khobar, Ulaya Dist., Al Khobar, Eastern Province, Saudi Arabia",Ulaya Dist.,Eastern Province,Saudi Arabia,Dreams Inn Hotel Suites,,https://arablocal.com/business/view/dreams-inn-hotel-suites,,,,,
Saudi Dur Racane Ltd. Co,+966 114459050,,,"East Ring Road, Riyadh, East Ring Road, Riyadh, Riyadh Province, Saudi Arabia",East Ring Road,Riyadh Province,Saudi Arabia,Saudi Dur Racane Ltd. Co,,https://arablocal.com/business/view/saudi-dur-racane-ltd-co,,,,,
Nsmat Al Madinah Hotels Co.,+966 148200500,,,"Central Area, Al Madinah Al Munawarah, Central Area, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Central Area,Madinah Province,Saudi Arabia,Nsmat Al Madinah Hotels Co.,,https://arablocal.com/business/view/nsmat-al-madinah-hotels-co,,,,,
Masaya For Hotel Suites,+966 138693300,,,"Jawhrah Dist., Al Khobar, Jawhrah Dist., Al Khobar, Eastern Province, Saudi Arabia",Jawhrah Dist.,Eastern Province,Saudi Arabia,Masaya For Hotel Suites,,https://arablocal.com/business/view/masaya-for-hotel-suites,,,,,
Diyar Ahmed for Hotel Apartments,+966 148690470,,,"King Abdul Aziz Rd., Al Escan Dist, Al Madinah Al Munawarah, Al Escan Dist, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",King Abdul Aziz Rd.,Madinah Province,Saudi Arabia,Diyar Ahmed for Hotel Apartments,,https://arablocal.com/business/view/diyar-ahmed-for-hotel-apartments,,,,,
Al Jomera Hotel Suites,+966 138892620,,,"Khobar, Al Khobar, Khobar, Al Khobar, Eastern Province, Saudi Arabia",Khobar,Eastern Province,Saudi Arabia,Al Jomera Hotel Suites,,https://arablocal.com/business/view/al-jomera-hotel-suites,,,,,
Mersacom Hotel Suites,+966 138944099,,,"Jawhrah Dist., Al Khobar, Jawhrah Dist., Al Khobar, Eastern Province, Saudi Arabia",Jawhrah Dist.,Eastern Province,Saudi Arabia,Mersacom Hotel Suites,,https://arablocal.com/business/view/mersacom-hotel-suites,,,,,
Lamar Hotel Suites,+966 138174036,,,"Aziziyah Dist., Dammam, Aziziyah Dist., Dammam, Eastern Province, Saudi Arabia",Aziziyah Dist.,Eastern Province,Saudi Arabia,Lamar Hotel Suites,,https://arablocal.com/business/view/lamar-hotel-suites,,,,,
Bapputty Hotel,+966 571718155,,,"King Abdul Aziz Rd, Muzahmiyah, Riyadh Governorates, Muzahmiyah, Riyadh, Riyadh Province, Saudi Arabia",King Abdul Aziz Rd,Riyadh Province,Saudi Arabia,Bapputty Hotel,,https://arablocal.com/business/view/bapputty-hotel,,,,,
Carmen Hotel Suites,+966 163853666,,,"Al Bukhary Street Al Rayan Dist., Buraida, Qassim, Buraida, Qassim, Qassim Province, Saudi Arabia",Al Bukhary Street Al Rayan Dist.,Qassim Province,Saudi Arabia,Carmen Hotel Suites,,https://arablocal.com/business/view/carmen-hotel-suites,,,,,
International Lighthouse Hotel Group,+966 143920000,,,"Yenbu, Yanbu, Yenbu, Yanbu, Madinah Province, Saudi Arabia",Yenbu,Madinah Province,Saudi Arabia,International Lighthouse Hotel Group,,https://arablocal.com/business/view/international-lighthouse-hotel-group,,,,,
Al Khuzama Palace For Hotel Apartments And Hotel Suites,+966 176222244,,,"Airport St., Al Mukhatat, Sakakah, Al Mukhatat, Sakakah, Jawf Province, Saudi Arabia",Airport St.,Jawf Province,Saudi Arabia,Al Khuzama Palace For Hotel Apartments And Hotel Suites,,https://arablocal.com/business/view/al-khuzama-palace-for-hotel-apartments-and-hotel-suites,,,,,
Al Dheyab Hotel,+966 148244720,,,"Balad, Al Madinah Al Munawarah, Balad, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Balad,Madinah Province,Saudi Arabia,Al Dheyab Hotel,,https://arablocal.com/business/view/al-dheyab-hotel,,,,,
Lotus Hotel Suites,+966 138959999,,,"Jawhrah Dist., Al Khobar, Jawhrah Dist., Al Khobar, Eastern Province, Saudi Arabia",Jawhrah Dist.,Eastern Province,Saudi Arabia,Lotus Hotel Suites,,https://arablocal.com/business/view/lotus-hotel-suites,,,,,
Narjisiya Hotel Suites,+966 138158015,,,"Prince Nayef Bin Abdulaziz, Dammam, Dammam, Dammam, Eastern Province, Saudi Arabia",Prince Nayef Bin Abdulaziz,Eastern Province,Saudi Arabia,Narjisiya Hotel Suites,,https://arablocal.com/business/view/narjisiya-hotel-suites,,,,,
Al Sultan Residental Units,+966 148221888,,,"Omar Bin Al Khatan Intersecetion, Prince Abdul Majed Street, Al Madinah Al Munawarah, Prince Abdul Majed Street, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Omar Bin Al Khatan Intersecetion,Madinah Province,Saudi Arabia,Al Sultan Residental Units,,https://arablocal.com/business/view/al-sultan-residental-units,,,,,
Saher Residential Units,+966 122716777,,,"Safa Dist., Jeddah, Safa Dist., Jeddah, Makkah Province, Saudi Arabia",Safa Dist.,Makkah Province,Saudi Arabia,Saher Residential Units,,https://arablocal.com/business/view/saher-residential-units,,,,,
Naghmat Al Khobar Suites Hotel,+966 138997821,,,"street 3, Al Aqrabiyah Dist, Al Khobar, Al Aqrabiyah Dist, Al Khobar, Eastern Province, Saudi Arabia",street 3,Eastern Province,Saudi Arabia,Naghmat Al Khobar Suites Hotel,,https://arablocal.com/business/view/naghmat-al-khobar-suites-hotel,,,,,
Sheta International,+966 173465000,,,"Darb, Jazan, Darb, Jazan, Jizan Province, Saudi Arabia",Darb,Jizan Province,Saudi Arabia,Sheta International,,https://arablocal.com/business/view/sheta-international,,,,,
Royal Taibah Furnished Apartment,+966 569600090,+966 148222231,,"Prince Abdul Majeed Street Middle Circle, Madinah, Al Madinah Al Munawarah, Madinah, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Prince Abdul Majeed Street Middle Circle,Madinah Province,Saudi Arabia,Royal Taibah Furnished Apartment,,https://arablocal.com/business/view/royal-taibah-furnished-apartment,,,,,
Costal Waves For Hotel Suites Apparments,+966 138970234,,,"Jawhrah Dist., Al Khobar, Jawhrah Dist., Al Khobar, Eastern Province, Saudi Arabia",Jawhrah Dist.,Eastern Province,Saudi Arabia,Costal Waves For Hotel Suites Apparments,,https://arablocal.com/business/view/costal-waves-for-hotel-suites-apparments,,,,,
Rose Royal,+966 148233999,,,"Bank Albliad Building, Qurbaan St., Al Madinah Al Munawarah, Qurbaan, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Bank Albliad Building,Madinah Province,Saudi Arabia,,,https://arablocal.com/business/view/rose-royal,,,,,
Canary Beach Hotel - Yanbu,+966 552299000,+966 143222228,,"King Abdul Aziz St. - Opp. to Commercial Port, Yenbu, Yanbu, Yenbu, Yanbu, Madinah Province, Saudi Arabia",King Abdul Aziz St. - Opp. to Commercial Port,Madinah Province,Saudi Arabia,Canary Beach Hotel - Yanbu,,https://arablocal.com/business/view/canary-beach-hotel-yanbu,,,,,
Cooperation Summit For Hotel Apartments And Suites,+966 138090202,,,"Street 18, Al Salam Dist., Dammam, Al Salam Dist., Dammam, Eastern Province, Saudi Arabia",Street 18,Eastern Province,Saudi Arabia,Cooperation Summit For Hotel Apartments And Suites,,https://arablocal.com/business/view/cooperation-summit-for-hotel-apartments-and-suites,,,,,
Saad Residential Units And Hotel Suites,+966 138970886,,,"Al Thuqbah, Al Khobar, Al Thuqbah, Al Khobar, Eastern Province, Saudi Arabia",Al Thuqbah,Eastern Province,Saudi Arabia,Saad Residential Units And Hotel Suites,,https://arablocal.com/business/view/saad-residential-units-and-hotel-suites,,,,,
Ratina For Hotel Suites,+966 114711799,,,"Harun al-Rashid Street, Al Jazeera Dist., Riyadh, Al Jazeera Dist., Riyadh, Riyadh Province, Saudi Arabia",Harun al-Rashid Street,Riyadh Province,Saudi Arabia,Ratina For Hotel Suites,,https://arablocal.com/business/view/ratina-for-hotel-suites,,,,,
Rwaq Hotel Suites Ashplyah Riyadh,+966 550856259,+966 112492166,,"Imam Mohd. Bin Saud Street, Ashplyah Dist., Riyadh, Ashplyah Dist., Riyadh, Riyadh Province, Saudi Arabia",Imam Mohd. Bin Saud Street,Riyadh Province,Saudi Arabia,Rwaq Hotel Suites Ashplyah Riyadh,,https://arablocal.com/business/view/rwaq-hotel-suites-ashplyah-riyadh,,,,,
Talk To Me Trading Est,+966 114560121,,,"Riyadh City, Riyadh, Riyadh City, Riyadh, Riyadh Province, Saudi Arabia",Riyadh City,Riyadh Province,Saudi Arabia,Talk To Me Trading Est,,https://arablocal.com/business/view/talk-to-me-trading-est,,,,,
The Palace Hotel Suites,+966 138876047,,,"In front of Saad Hospital, Al Hizam Alakhdar Dist., Al Khobar, Al Hizam Alakhdar Dist., Al Khobar, Eastern Province, Saudi Arabia",In front of Saad Hospital,Eastern Province,Saudi Arabia,The Palace Hotel Suites,,https://arablocal.com/business/view/the-palace-hotel-suites,,,,,
Radoof Hotels Suites,+966 163826603,,,"Al Nahda Dist, Buraida, Qassim, Buraida, Qassim, Qassim Province, Saudi Arabia",Al Nahda Dist,Qassim Province,Saudi Arabia,Radoof Hotels Suites,,https://arablocal.com/business/view/radoof-hotels-suites,,,,,
Mandarin Hotel Suites and Flats,+966 503999920,+966 112057711,,"Al Emam Saud Road, King Abdul Aziz Road, Riyadh, King Abdul Aziz Road, Riyadh, Riyadh Province, Saudi Arabia",Al Emam Saud Road,Riyadh Province,Saudi Arabia,Mandarin Hotel Suites and Flats,,https://arablocal.com/business/view/mandarin-hotel-suites-and-flats,,,,,
