Category,Name,Phone_1,Phone_2,Phone_3,Email,Location,Area,Country,About,Website,Rating,Views,Fax,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/rising-generation-globle-co,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/khimji-international-restaurants-llc,,,,,
banks,Bank Muscat Dahariz,+968 24795555,,,care@bankmuscat.com,"Al Ahquaf St,Salalah, Dhofar",Al Dahareez,Oman,"Bank Muscat has suitable systems, procedures and recovery centres, Business Continuity Plans (BCP), which enables the continuation of normal business in case of disaster or significant disruption in the services. Customers will be notified, through the bank’s channels, in case of disruptions in our services. Also, if any branch is closed, customers will be directed to the alternative branch. All our channels are available to receive your feedback and inquiries, our customers can call our 24/7...",http://www.bankmuscat.com/en/Pages/default.aspx,0,932,,https://oman.arablocal.com/business/view/bank-muscat-dahariz,https://www.facebook.com/bankmuscat,https://www.instagram.com/bankmuscat/,https://www.linkedin.com/company/28328/,https://www.twitter.com/bankmuscat,https://www.youtube.com/user/bankmuscat4net
restaurants,Jalil Alasfoor Trading LLC,+968 24699055,,,info@karjeencaffe.com,"al fair supermarket, in bayah house -",Al Harthy Complex,Oman,Jalil Alasfoor Trading LLC,http://www.karjeencaffe.com,0,1067,,https://oman.arablocal.com/business/view/jalil-alasfoor-trading-llc,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/la-terezza-mexican-restaurant-llc,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/lucky-moon-trading-llc,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/nawras-falaj-al-qabail-trade-and-cont,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/shaima-trading-est,,,,,
restaurants,Mataam Al Shaf Adam,+968 25434614,,,,Nr Al shisha Petrol Pump Adam -,Adam,Oman,Mataam Al Shaf Adam,,0,1005,,https://oman.arablocal.com/business/view/mataam-al-shaf-adam,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/jibal-hudel-trade,,,,,
restaurants,Jokha Hamed Al Jabry Trade LLC,+968 24626992,,,caravans.ccs@gmail.com,Bait Shabiya in Bait Adam Al Busher -,Mina Al Fahal,Oman,Jokha Hamed Al Jabry Trade LLC,,0,999,,https://oman.arablocal.com/business/view/jokha-hamed-al-jabry-trade-llc,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-masarat-catering-llc,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/bin-ghader-united-trading-and-cont-co,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/mubark-gharib-salmeen-al-jabri-and-sons-trading-co,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/bairaq-aldakhlia-trading,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/ocean-restaurant-and-coffee-shop-l-l-c,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/rashad-trading-stores-restaurant,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/hameed-abdullah-al-ahsani-trading,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/mohad-salim-zaid-al-jahwari-trading,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/sarfaraz-enterprises,,,,,
banks,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/oman-arab-bank-falaj-al-qabail-branch,,,,,
restaurants,Kamat Restaurant LLC,+968 24705525,,,kamat@omantel.net.om,Ruwi -,Muscat,Oman,Kamat Restaurant LLC,,0,958,,https://oman.arablocal.com/business/view/kamat-restaurant-llc,,,,,
banks,National Bank of Oman Ibri Branch,,,,,Al Murtafa Ibri Area,Ibri,Oman,National Bank of Oman Ibri Branch,http://www.nbo.om/en/Pages/Personal-Banking/Home.aspx,0,893,,https://oman.arablocal.com/business/view/national-bank-of-oman-ibri-branch,https://www.facebook.com/nationalbankofomanofficial,https://instagram.com/nationalbankoman,,https://twitter.com/nbobank,https://www.youtube.com/user/nationalbankofoman
banks,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/oman-arab-bank-azaiba-branch,,,,,
banks,Oman Arab Bank Al Saada Branch,+968 24754807,,,corporatebanking@oman-arabbank.com,Dhofar Area,Al Saadah,Oman,"Oman Arab Bank was established in 1984, following the acquisition of all Arab Bank branches in the Sultanate. In 1992, operations were expanded with the acquisition of all retail branches of Omani European Bank, with which OAB merged in 1994. Since then, we have been building on our commitment to provide our customers with a comprehensive suite of innovative retail banking, corporate and project finance, and trade finance solutions. Our aim is to pave the way for the future of banking in Oman...",http://www.oman-arabbank.com/,0,887,24754444,https://oman.arablocal.com/business/view/oman-arab-bank-al-saada-branch,https://www.facebook.com/OmanArabBank/,https://www.instagram.com/Oman_Arab_Bank,https://www.linkedin.com/company/omanarabbank/mycompany/,https://twitter.com/Oman_Arab_Bank,https://www.youtube.com/channel/UCzJ-gHYDMKVa74NqG3UkZow
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/mohammad-bin-salim-bin-mohammad-al-ajmi-trade,,,,,
banks,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/bank-muscat-mbd,,,,,
banks,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/bank-muscat-al-rustaq,,,,,
banks,National Bank of Oman Amerat Branch,,,,,Ametat Shell,Al Amarat,Oman,National Bank of Oman Amerat Branch,http://www.nbo.om/en/Pages/Personal-Banking/Home.aspx,,887,,https://oman.arablocal.com/business/view/national-bank-of-oman-amerat-branch,https://www.facebook.com/nationalbankofomanofficial,https://instagram.com/nationalbankoman,,https://twitter.com/nbobank,https://www.youtube.com/user/nationalbankofoman
restaurants,The Integrated Strategy LLC,+968 25560445,,,ammarlamki@hotmail.com,Mhlah Dema Wattaeen -,Dama Wattaeen,Oman,The Integrated Strategy LLC,,0,954,,https://oman.arablocal.com/business/view/the-integrated-strategy-llc,,,,,
banks,Oman Arab Bank Ruwi Branch,+968 24754410,+968 24754438,+968 24754988,corporatebanking@oman-arabbank.com,Muscat Area,Ruwi,Oman,"Oman Arab Bank was established in 1984, following the acquisition of all Arab Bank branches in the Sultanate. In 1992, operations were expanded with the acquisition of all retail branches of Omani European Bank, with which OAB merged in 1994. Since then, we have been building on our commitment to provide our customers with a comprehensive suite of innovative retail banking, corporate and project finance, and trade finance solutions. Our aim is to pave the way for the future of banking in Oman...",http://www.oman-arabbank.com/,0,867,24754444,https://oman.arablocal.com/business/view/oman-arab-bank-ruwi-branch,https://www.facebook.com/OmanArabBank/,https://www.instagram.com/Oman_Arab_Bank,https://www.linkedin.com/company/omanarabbank/mycompany/,https://twitter.com/Oman_Arab_Bank,https://www.youtube.com/channel/UCzJ-gHYDMKVa74NqG3UkZow
banks,Bank Muscat Ghala Industrial Area Branch,+968 24795555,,,care@bankmuscat.com,"6420 Way,Ghala, Muscat",Ghallah,Oman,"Bank Muscat has suitable systems, procedures and recovery centres, Business Continuity Plans (BCP), which enables the continuation of normal business in case of disaster or significant disruption in the services. Customers will be notified, through the bank’s channels, in case of disruptions in our services. Also, if any branch is closed, customers will be directed to the alternative branch. All our channels are available to receive your feedback and inquiries, our customers can call our 24/7...",http://www.bankmuscat.com/en/Pages/default.aspx,0,875,,https://oman.arablocal.com/business/view/bank-muscat-ghala-industrial-area-branch,https://www.facebook.com/bankmuscat,https://www.instagram.com/bankmuscat/,https://www.linkedin.com/company/28328/,https://www.twitter.com/bankmuscat,https://www.youtube.com/user/bankmuscat4net
banks,Bank Muscat Muscat Branch,+968 24795555,,,care@bankmuscat.com,"Muscat Block 180-184,Muscat, Muscat",Muscat,Oman,"Bank Muscat has suitable systems, procedures and recovery centres, Business Continuity Plans (BCP), which enables the continuation of normal business in case of disaster or significant disruption in the services. Customers will be notified, through the bank’s channels, in case of disruptions in our services. Also, if any branch is closed, customers will be directed to the alternative branch. All our channels are available to receive your feedback and inquiries, our customers can call our 24/7...",http://www.bankmuscat.com/en/Pages/default.aspx,0,848,,https://oman.arablocal.com/business/view/bank-muscat-muscat-branch,https://www.facebook.com/bankmuscat,https://www.instagram.com/bankmuscat/,https://www.linkedin.com/company/28328/,https://www.twitter.com/bankmuscat,https://www.youtube.com/user/bankmuscat4net
restaurants,Sultan Saif Soud Al Shabibi Trade,+968 25526037,,,sultan.shedhany@sultan-s.com,Liziq Area,Al Mudhaibi,Oman,Sultan Saif Soud Al Shabibi Trade,,0,952,,https://oman.arablocal.com/business/view/sultan-saif-soud-al-shabibi-trade,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/ali-saif-ali-al-ghari,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/lama-ak-berooq-united,,,,,
banks,Bank Muscat Awqadain,+968 24795555,,,care@bankmuscat.com,"Awqadain, A sultan Saeed Bin Sultan St,Awqadain, Dhofar",Al Awqadain,Oman,"Bank Muscat has suitable systems, procedures and recovery centres, Business Continuity Plans (BCP), which enables the continuation of normal business in case of disaster or significant disruption in the services. Customers will be notified, through the bank’s channels, in case of disruptions in our services. Also, if any branch is closed, customers will be directed to the alternative branch. All our channels are available to receive your feedback and inquiries, our customers can call our 24/7...",http://www.bankmuscat.com/en/Pages/default.aspx,0,823,,https://oman.arablocal.com/business/view/bank-muscat-awqadain,https://www.facebook.com/bankmuscat,https://www.instagram.com/bankmuscat/,https://www.linkedin.com/company/28328/,https://www.twitter.com/bankmuscat,https://www.youtube.com/user/bankmuscat4net
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/best-choics-trading,,,,,
banks,Oman Arab Bank Qalat Al Awamer Izki Branch,,,,corporatebanking@oman-arabbank.com,Al-Dakhliliya Area,Izki,Oman,"Oman Arab Bank was established in 1984, following the acquisition of all Arab Bank branches in the Sultanate. In 1992, operations were expanded with the acquisition of all retail branches of Omani European Bank, with which OAB merged in 1994. Since then, we have been building on our commitment to provide our customers with a comprehensive suite of innovative retail banking, corporate and project finance, and trade finance solutions. Our aim is to pave the way for the future of banking in Oman...",http://www.oman-arabbank.com/,,828,24754444,https://oman.arablocal.com/business/view/oman-arab-bank-qalat-al-awamer-izki-branch,https://www.facebook.com/OmanArabBank/,https://www.instagram.com/Oman_Arab_Bank,https://www.linkedin.com/company/omanarabbank/mycompany/,https://twitter.com/Oman_Arab_Bank,https://www.youtube.com/channel/UCzJ-gHYDMKVa74NqG3UkZow
banks,Bank Muscat Salalah Port Branch,+968 24795555,,,care@bankmuscat.com,"As Sultan Qaboos St 47,Salalah, Dhofar",Salalah,Oman,"Bank Muscat has suitable systems, procedures and recovery centres, Business Continuity Plans (BCP), which enables the continuation of normal business in case of disaster or significant disruption in the services. Customers will be notified, through the bank’s channels, in case of disruptions in our services. Also, if any branch is closed, customers will be directed to the alternative branch. All our channels are available to receive your feedback and inquiries, our customers can call our 24/7...",http://www.bankmuscat.com/en/Pages/default.aspx,0,818,,https://oman.arablocal.com/business/view/bank-muscat-salalah-port-branch,https://www.facebook.com/bankmuscat,https://www.instagram.com/bankmuscat/,https://www.linkedin.com/company/28328/,https://www.twitter.com/bankmuscat,https://www.youtube.com/user/bankmuscat4net
banks,Bank Muscat Marmul,+968 24795555,,,care@bankmuscat.com,"Marmul, Dhofar",Marmul,Oman,"Bank Muscat has suitable systems, procedures and recovery centres, Business Continuity Plans (BCP), which enables the continuation of normal business in case of disaster or significant disruption in the services. Customers will be notified, through the bank’s channels, in case of disruptions in our services. Also, if any branch is closed, customers will be directed to the alternative branch. All our channels are available to receive your feedback and inquiries, our customers can call our 24/7...",http://www.bankmuscat.com/en/Pages/default.aspx,0,818,,https://oman.arablocal.com/business/view/bank-muscat-marmul,https://www.facebook.com/bankmuscat,https://www.instagram.com/bankmuscat/,https://www.linkedin.com/company/28328/,https://www.twitter.com/bankmuscat,https://www.youtube.com/user/bankmuscat4net
banks,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/oman-arab-bank-al-suwaiq-branch,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/safant-al-haditha-llc,,,,,
banks,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/oman-arab-bank-muscat-city-center-branch,,,,,
restaurants,Azhar Al Khareef Al Shamela Trading,+968 25558402,,,,AL Kamil Al Kamil Al Wafi -,Al Kamil And Al Wafi,Oman,Azhar Al Khareef Al Shamela Trading,,0,940,,https://oman.arablocal.com/business/view/azhar-al-khareef-al-shamela-trading,,,,,
handy-man,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/oman-insecticides-and-air-freshener-co-llc-sohar,,,,,
banks,National Bank of Oman Qurum,,,,,Bareeq Al-Shati,Al Qurum,Oman,National Bank of Oman Qurum,http://www.nbo.om/en/Pages/Personal-Banking/Home.aspx,0,789,,https://oman.arablocal.com/business/view/national-bank-of-oman-qurum,https://www.facebook.com/nationalbankofomanofficial,https://instagram.com/nationalbankoman,,https://twitter.com/nbobank,https://www.youtube.com/user/nationalbankofoman
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/original-international-muscat-branch,,,,,
banks,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/oman-arab-bank-boshar-branch,,,,,
handy-man,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/zuhur-al-madinah-al-hadintha-llc,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-reyal-arab-trade-co,,,,,
transport,Desert King L L C,+968 24707720,,,,Nr TO Qaboos Mosque Ruwi -,Al Khuwiar,Oman,Desert King L L C,http://www.desertking .com,0,4255,,https://oman.arablocal.com/business/view/desert-king-l-l-c,,,,,
banks,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/oman-arab-bank-alburaimi-branch,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/manadher-al-sharqiya-trade-and-con-co,,,,,
banks,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/bank-muscat-royal-hospital,,,,,
handy-man,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/professionals-trading-llc,,,,,
transport,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/atheer-middle-east-llc,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/mubarek-bin-awad-bin-jearef-al-balushi-trade,,,,,
handy-man,Al Wadi Al Kabir Carpentry LLC,+968 24812856,+968 24813345,,awakcllc@omantel.net.om,Al Wadi Al Kabir -,Al Wadi Al Kabir,Oman,Al Wadi Al Kabir Carpentry LLC,,0,2196,,https://oman.arablocal.com/business/view/al-wadi-al-kabir-carpentry-llc,,,,,
transport,Wahat Aswad Trading And Transporting,+968 25699023,,,watco1@ymail.com,Al Tanam Ibri -,Ibri,Oman,Wahat Aswad Trading And Transporting,http://www.sosoman.com,0,2221,,https://oman.arablocal.com/business/view/wahat-aswad-trading-and-transporting,,,,,
handy-man,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-dar-united-enterprises-llc,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-nebogh-al-wattaniya-trade-and-con-est,,,,,
transport,Saeeh Al Naheeda Services Oil And Gas Asso,+968 24504605,,,,Adam Adam -,Adam,Oman,Saeeh Al Naheeda Services Oil And Gas Asso,,0,2112,,https://oman.arablocal.com/business/view/saeeh-al-naheeda-services-oil-and-gas-asso,,,,,
handy-man,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/technical-services-and-rock-blasting-co-llc,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/maha-al-dhahira-trade,,,,,
transport,Hisham Hassan Al Jamali Transport Est,+968 24503703,+968 24503702,,management@hhjco.com,"Gr Fl, Hisham Hassan Bldg, Nr Barawani Ready Mix -",Madinat Al Sultan Qaboos,Oman,Hisham Hassan Al Jamali Transport Est,http://www.hhjco.co,0,1873,,https://oman.arablocal.com/business/view/hisham-hassan-al-jamali-transport-est,,,,,
handy-man,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/shanfari-trading-and-furnishing-co-llc,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/tanuf-international-administration-and-facilities-llc,,,,,
transport,Ali Bin Saif Bin Nasser Al Mahrooqi Est LLC,+968 24593917,,,,Bhd Oman Oil Station Galah -,Muscat,Oman,Ali Bin Saif Bin Nasser Al Mahrooqi Est LLC,,0,1864,,https://oman.arablocal.com/business/view/ali-bin-saif-bin-nasser-al-mahrooqi-est-llc,,,,,
transport,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/saraya-world-trade-co-llc,,,,,
handy-man,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/oman-insecticides-and-air-freshener-co-llc-rusayl,,,,,
handy-man,Al Rouba Ent And Trade LLC,+968 24703114,,,talal.albalushi@alrouba.com,"next Bldg to Lima House, Mutrah -",Jibroo,Oman,Al Rouba Ent And Trade LLC,http://www.alrouba.com,0,1859,,https://oman.arablocal.com/business/view/al-rouba-ent-and-trade-llc,,,,,
restaurants,Saif Bin Masood Bin Abdullah Al Shehi Trading,+968 26841519,,,,Sohar -,Sohar Industrial,Oman,Saif Bin Masood Bin Abdullah Al Shehi Trading,,0,905,,https://oman.arablocal.com/business/view/saif-bin-masood-bin-abdullah-al-shehi-trading,,,,,
handy-man,Al Barzakh Trading,+968 24485905,,,cdsandeep2002@yaqhoo.com,Al Khuwair- Nr Rawasco Al Khuwair -,Madinat Al Sultan Qaboos,Oman,Al Barzakh Trading,,0,1707,,https://oman.arablocal.com/business/view/al-barzakh-trading,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-riyal-national-trade-and-cont-co,,,,,
transport,Salim Bin Ali Bin Tanaf Al Darai Trading And Contg Est,+968 25437335,,,rasheedashraf@gmail.com,Nizwa Bahla -,Nizwa,Oman,Salim Bin Ali Bin Tanaf Al Darai Trading And Contg Est,,,1570,,https://oman.arablocal.com/business/view/salim-bin-ali-bin-tanaf-al-darai-trading-and-contg-est,,,,,
transport,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/dil-jan-international-llc,,,,,
handy-man,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-minhaj-international-llc,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/burj-al-nahdha-trading,,,,,
transport,Aramex Muscat LLC,+968 24503392,,,sreekumar.gopalakrishnan@aramex.com,Nr Park Inn Hotel Al Khuwair -,Hay Al Mina Jibroo,Oman,Aramex Muscat LLC,http://www.aramex.com,0,1734,,https://oman.arablocal.com/business/view/aramex-muscat-llc,,,,http://www.aramex.com,
transport,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/parsons-international-and-co-llc,,,,,
shopping,Atla Al Rafidain Trading,+968 24786365,,,info@duduslimmer.com,Ruwi Near Ok Center Ruwi -,Ruwi,Oman,Atla Al Rafidain Trading,,0,4958,,https://oman.arablocal.com/business/view/atla-al-rafidain-trading,,,,,
handy-man,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/teejan-furnishing-llc,,,,,
restaurants,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/dusteen-international-llc,,,,,
transport,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/united-transport-co-llc,,,,,
handy-man,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/abu-osamah-civil-project-co,,,,,
handy-man,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/pest-control-oman-co-llc,,,,,
transport,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/sultan-bin-ali-bin-rashid-al-saadi-trading,,,,,
restaurants,Al Zamaim Kitchen,+968 24535200,,,,Al Khoudh -,Sultan Qaboos University,Oman,Al Zamaim Kitchen,,0,934,,https://oman.arablocal.com/business/view/al-zamaim-kitchen,,,,,
handy-man,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/hormoz-international,,,,,
transport,Zenat Al Barari Trade,+968 25672090,,,,Yanqul /Al Suadir Yanqul -,Yanqul,Oman,Zenat Al Barari Trade,,0,1462,,https://oman.arablocal.com/business/view/zenat-al-barari-trade,,,,,
shopping,Al Khat Al Rasasi,+968 24566771,,,customercare@rasasiperfumes.ae,St Commercial Complexes -Al Qurum -,Ruwi,Oman,Al Khat Al Rasasi,http://www.rasasi.com,0,2768,,https://oman.arablocal.com/business/view/al-khat-al-rasasi,,,,,
shopping,Al Faisal Company LLC,+968 24590086,+968 24591670,,alfaisal@omantel.net.om,Ghalah -,Madinat Al Sultan Qaboos,Oman,Al Faisal Company LLC,,0,3137,,https://oman.arablocal.com/business/view/al-faisal-company-llc,,,,,
transport,Gulf First Trade And Services,+968 25457755,,,,Manah -,Manah,Oman,Gulf First Trade And Services,,0,1426,,https://oman.arablocal.com/business/view/gulf-first-trade-and-services,,,,,
shopping,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-khangar-for-perfumes-and-bkhoor,,,,,
handy-man,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/snowhite-llc,,,,,
transport,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/mana-bin-hamdan-bin-abdullah-al-shabli-trading,,,,,
shopping,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-marjan-perfume-center,,,,,
handy-man,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-najam-al-qutbi-trade-co,,,,,
transport,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/taj-mahal-trading,,,,,
transport,United Power,+968 24675696,,,,Close to Dohat al Adab School Al Khuwair -,Mina Al Fahal,Oman,United Power,,0,1324,,https://oman.arablocal.com/business/view/united-power,,,,,
shopping,Al Nazih United LLC,+968 24488515,,,nazih@omantel.net.om,Madinat Al Sultan Qaboos -,Ruwi,Oman,Al Nazih United LLC,http://www.nazih.com,0,2646,,https://oman.arablocal.com/business/view/al-nazih-united-llc,,,,,
handy-man,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/abu-muhaned-al-hadabi-trading,,,,,
shopping,Ajmal International LLC Salalah Branch,+968 24703104,,,alzaman@omantel.net.om,Next To Bank Sohar Head Office Ruwi -,Ruwi,Oman,Ajmal International LLC Salalah Branch,http://www.ajmalperfume.com,0,2336,,https://oman.arablocal.com/business/view/ajmal-international-llc-salalah-branch,,,,,
transport,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/shankar-khimji-llc,,,,,
handy-man,Rahat Al Bal Company LLC,+968 24481360,,,pomllc.oman@gmail.com,Al Khuwair -33 Behind Khimji Markets Al Khuwair -,Al Khuwiar,Oman,Rahat Al Bal Company LLC,,0,1539,,https://oman.arablocal.com/business/view/rahat-al-bal-company-llc,,,,,
transport,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/sulaiman-sabran-al-shikeli-trading-and-contracting,,,,,
shopping,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/oman-cosmetics-factory,,,,,
handy-man,Bin Sabah Trading,+968 23211122,,,,Salalah - Industrail Area New Dhofar -,Salalah,Oman,Bin Sabah Trading,,0,1350,,https://oman.arablocal.com/business/view/bin-sabah-trading,,,,,
shopping,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/awadi-jewellery,,,,,
shopping,Al Hadi Development And Investment LLC,+968 24995951,,,,Nr Al Sama Jewelry Ruwi -,Hay Al Mina Jibroo,Oman,Al Hadi Development And Investment LLC,,,1734,,https://oman.arablocal.com/business/view/al-hadi-development-and-investment-llc,,,,,
shopping,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/muscat-perfumes-modern,,,,,
shopping,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/zahrat-al-ferdous-trading,,,,,
shopping,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/tihama-perfumes-llc,,,,,
shopping,Al Fardoos United Ent,+968 24711938,,,ymarparayil@gmail.com,Muttrah Al Kubra -,Hay Al Mina Jibroo,Oman,Al Fardoos United Ent,,0,1605,,https://oman.arablocal.com/business/view/al-fardoos-united-ent,,,,,
shopping,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/ardh-al-saeed-perfumes,,,,,
